EStree IncrementalDynamicSSSP Dijkstra Dsource
38 172389 1181 107
28 127756 1655 153
30 17670 1091 4
14 20831 1346 12
16 116532 1170 5
17 281523 1227 153
28 56734 1789 18
28 33765 1668 19
40 91818 1776 155
20 17585 1786 16
20 151259 1718 12
20 16846 1806 18
22 42996 1209 5
20 144880 1285 13
14 94202 1204 6
16 17386 1784 13
39 95703 1753 155
63 31497 1224 12
16 94116 1166 9
17 94346 1766 15
21 146482 1801 36
30 77959 1752 9
18 35504 1426 14
19 145163 1280 8
18 60062 1739 13
20 34863 1196 8
18 228763 1725 153
23 66256 1181 6
25 33081 1915 18
24 45860 1722 16
44 149324 1609 151
24 183772 1617 112
20 72955 1699 14
28 17697 1117 5
15 213488 1518 12
30 81636 1093 4
14 50871 1108 5
19 91249 1130 7
13 115616 1198 10
16 92657 1801 17
27 21557 1359 15
19 38801 1659 15
27 152141 1789 120
31 98027 1797 162
24 146892 1740 198
25 158884 1405 106
32 126274 1694 154
30 135719 1236 116
19 202094 1209 4
16 118843 1552 13
24 122319 1253 15
28 109547 1706 10
31 89977 1606 10
26 25754 1507 9
21 119305 1112 5
21 101267 1207 91
15 80846 1687 12
19 16828 1503 13
30 23072 1645 10
30 91779 1770 15
84 22905 1259 9
29 25279 1369 11
45 31888 1406 11
34 86892 1146 87
19 31251 1199 5
16 50370 1283 5
19 153637 1303 121
20 19044 1135 5
18 33932 1091 4
12 16972 1668 7
17 38039 1127 5
25 255856 1309 151
27 106684 1805 165
28 62616 1414 8
19 82901 1606 10
20 165782 1730 16
25 102048 1751 15
25 194976 1772 18
25 43482 1788 20
35 150077 1776 155
40 72133 1235 90
19 39093 1293 6
17 124604 1778 16
38 172846 1352 112
16 52021 1500 15
18 89407 1434 15
19 75841 1764 16
41 145345 1745 163
24 20892 1765 11
44 59364 1256 93
15 20752 1829 17
28 160759 1783 155
22 69143 1242 9
21 47682 1186 4
29 186891 1134 96
13 60688 1226 7
17 68496 1605 14
26 82731 1215 116
35 198062 1120 5
14 151105 1736 14
26 145190 1520 109
18 25551 1739 14
24 88345 1687 17
23 136904 1705 15
19 92624 1143 5
13 18597 1535 13
26 66486 1128 99
18 101812 1297 99
17 32317 1790 12
42 195297 1819 18
28 96725 1822 20
41 190889 1792 169
26 39110 1833 154
22 158745 1793 18
22 26073 1235 8
16 95787 1213 7
25 72763 1800 13
26 52769 1748 16
73 94431 1794 174
22 24844 1214 6
26 41116 1263 9
19 95097 1663 10
18 102353 1241 7
19 116186 1781 16
25 59382 1722 16
29 137213 1821 155
31 171208 1338 108
15 26303 1778 17
32 56668 1793 14
27 129833 1129 5
15 15057 1424 12
53 129807 1116 91
18 116293 1778 17
25 73090 1144 5
18 18149 1601 16
32 24578 1573 13
90 133494 1502 153
22 108774 1587 11
21 104658 1131 7
25 128975 1515 18
24 123539 1299 99
23 124709 1823 18
26 67335 1359 9
20 62367 1205 91
49 75182 1813 196
28 99370 1783 15
30 92227 1761 16
20 256650 1790 14
24 167239 1260 4
23 96497 1227 6
16 57027 1766 15
32 84315 1292 14
25 136653 1859 155
27 125173 1498 7
21 66522 1636 19
19 117148 1292 7
19 45420 1276 5
18 112596 1852 155
20 50320 1240 6
15 58333 1362 8
36 89421 1830 159
31 84305 1126 4
16 32499 1303 10
14 194163 1252 95
28 78279 1237 117
19 169289 1289 4
16 79213 1249 6
22 128503 1613 146
14 102030 1226 6
40 147777 1844 169
28 207847 1251 93
28 152120 1343 141
26 63679 1814 8
23 32441 1351 11
22 161052 1831 164
27 63098 2582 15
32 157773 2400 112
26 614589 2316 173
29 97815 2071 25
30 78469 1263 7
21 251016 1374 10
20 53035 1453 11
16 153713 1250 7
33 58034 1906 21
24 137205 1267 5
22 190418 1135 90
15 116247 3626 26
35 49484 2225 26
38 377532 2804 169
22 23355 1878 18
30 130282 1849 21
22 179722 1301 12
19 50260 1435 18
26 52994 1310 8
24 74218 1850 19
24 125410 2306 22
23 138269 1495 14
20 198506 1328 12
20 32705 1806 15
22 113260 2185 15
36 33270 1997 22
33 75697 1352 10
16 66055 1826 7
29 157848 1922 167
20 166603 2327 19
33 162120 2207 19
24 111342 2197 56
28 36931 1771 15
24 112946 2124 163
29 214903 1213 6
19 90907 1222 90
20 245958 1823 160
19 84598 1793 20
27 95445 1834 14
35 113460 1793 14
24 16061 1391 10
25 22485 1949 20
31 34596 1873 17
47 99469 1913 158
31 104454 1846 13
22 193664 1862 16
26 158810 2088 14
22 225010 1416 108
21 158816 1860 15
33 31226 1962 16
26 221563 2485 17
27 36862 1913 13
29 118044 1907 16
25 153894 1825 12
24 230545 2795 160
25 269795 1353 13
32 190196 1631 157
23 106086 1163 5
14 74805 1796 21
25 43568 3052 34
50 25977 1170 5
20 23566 1915 18
23 86012 1185 5
18 34530 1890 16
17 103808 1307 101
20 87774 1569 15
22 119141 1338 11
37 89816 1365 11
35 113581 1917 169
28 21411 1370 11
22 59619 1329 6
17 62905 1797 7
27 30824 1304 9
56 85598 1931 183
37 114332 1938 13
29 137360 1270 5
17 51601 1345 105
22 45391 1366 13
29 109705 1487 106
18 56851 1277 6
20 166253 1873 21
39 24251 1285 10
17 135977 1396 12
48 21422 1854 10
35 64402 1288 6
13 107497 1254 5
18 69175 1212 5
18 97642 1295 6
24 90734 1443 10
22 43343 1224 5
16 94939 1175 4
22 80350 1266 96
23 110753 1466 101
27 127857 1243 92
17 74930 1220 91
26 29672 2012 106
14 128375 1278 93
22 124923 2731 20
30 114757 1204 83
16 110638 1752 20
28 71387 1481 10
17 31514 1844 15
24 78221 1386 11
22 108726 1940 25
38 48190 1344 14
33 26742 1869 13
24 87136 1877 10
27 32175 2915 22
28 32341 1290 4
15 238352 1880 16
40 70679 1254 89
19 68978 1830 8
26 53696 1507 6
26 21925 1251 7
17 139093 1324 7
20 215433 1282 95
18 90043 1405 14
14 64021 1899 18
39 91313 1560 16
22 76741 1452 25
26 38099 1912 14
27 107402 1345 8
18 115947 1211 86
13 17229 1294 5
15 16756 1203 6
35 23667 1467 14
18 79119 1182 4
13 110340 1188 5
18 30249 1334 9
29 83813 1483 12
18 21635 1182 5
19 77857 1865 14
20 43164 1881 17
23 33370 1190 4
16 44202 1181 5
13 257945 1575 15
23 117704 1684 13
24 76922 1509 9
21 48452 1680 7
61 88049 1329 91
22 49377 1290 7
20 35814 1868 20
30 56594 1938 23
180 106827 1300 94
22 116427 1441 126
17 17210 1321 7
19 82454 1900 11
32 153022 2156 51
33 88193 1808 166
25 145239 1855 139
27 86914 1309 5
79 42285 1296 90
20 92507 1650 112
18 36999 1963 21
26 104281 1477 10
22 18027 1469 15
25 88665 1271 6
27 38241 1185 5
19 118075 2066 22
27 170405 1692 148
26 42635 1565 11
18 103547 1250 7
20 36316 1278 5
102 61031 1261 98
33 117117 1615 157
57 49299 1515 106
25 27477 1902 13
56 151287 1333 117
18 61213 1179 4
20 40006 1199 5
18 98602 1357 16
28 70935 1719 160
25 39872 1191 5
15 71962 1847 9
32 54202 1610 32
21 61753 1181 5
17 85938 1834 16
35 75931 1492 13
34 101277 1880 150
38 51845 2009 162
72 115150 2853 196
26 144260 4331 53
67 149477 2044 21
26 28604 2980 72
34 69060 1731 16
17 91765 1495 11
28 103108 2874 200
24 175051 1824 10
17 139196 2002 16
31 83061 1713 20
23 32099 1681 15
22 86646 1337 5
30 75994 1466 100
20 97299 1909 69
69 47234 1223 5
13 66233 1346 5
19 90073 1459 104
19 66669 1832 8
26 65661 1289 5
17 23028 1853 16
16 106712 1337 96
21 19183 1190 6
15 98758 1855 9
16 50237 1230 5
18 148965 1804 141
32 76777 1507 149
24 29971 1185 4
14 69497 3273 127
197 19113 1205 4
22 73169 1637 157
32 77106 1186 4
14 18517 1449 10
20 100351 1498 11
21 32155 1209 5
18 89738 1319 95
21 63289 1346 8
18 61034 1415 7
28 178154 1280 97
19 91092 1532 14
23 73011 1925 15
29 33953 1309 4
16 167999 1671 141
31 87641 1842 159
22 143168 1538 16
18 69805 1862 8
29 28965 1321 5
19 115325 1897 151
59 49807 1904 161
31 70923 1339 4
29 121758 1646 163
35 70405 1310 6
20 47013 1334 4
24 130378 1311 94
19 35078 1289 5
26 40076 1383 6
26 74252 1241 87
22 16624 1219 4
31 59913 1286 95
18 53991 1295 4
19 72052 1261 5
50 62258 1208 86
21 62499 1315 5
13 67128 1218 5
20 48554 1202 5
30 57726 1191 84
20 79497 1313 98
18 33508 1213 4
19 16463 1298 5
16 49997 1302 5
17 130109 1657 16
20 77345 1369 5
28 152242 1220 85
18 101285 1313 8
22 104991 1400 13
20 69266 2043 16
36 66858 1332 99
24 79185 3121 211
22 123842 1596 16
26 100782 1328 6
17 183818 1378 98
21 71922 1941 32
34 80765 1702 113
18 81412 2016 14
34 28624 1406 9
18 87596 1382 93
22 210795 1875 198
28 50204 2052 16
26 32092 1237 4
19 100305 1354 17
21 84934 2016 177
47 207781 1241 100
16 121198 1498 10
19 127660 1204 90
18 52264 1225 5
16 18091 2262 18
107 37980 2150 17
25 117037 1984 248
23 78860 1986 15
18 17279 1323 6
14 42849 1355 4
15 62283 1223 5
17 14450 1239 4
13 65041 1938 15
26 78059 2325 14
21 124281 1520 157
32 59895 1248 5
22 83897 2163 17
47 83836 2940 173
26 93666 3113 21
35 122740 1587 13
23 141160 1833 128
22 91185 2492 163
34 201066 10681 374
32 60140 2137 79
70 100840 1335 8
17 69417 1917 10
27 71279 1522 12
21 35460 1916 7
20 90028 1537 111
46 83961 1949 132
25 63600 2008 19
33 39409 1772 20
20 101018 1871 147
92 53026 1910 7
34 17506 1426 6
23 54825 1332 4
18 117477 1914 14
25 92960 1533 14
34 88329 1433 26
24 202319 3219 213
29 135702 3677 48
53 49793 1557 35
35 88553 1435 106
26 105941 1285 9
19 43047 1311 5
16 67493 1255 4
18 89475 1775 13
51 224233 2213 179
26 33556 1715 22
29 32804 2029 22
29 102562 1735 19
26 34116 1338 6
15 100580 1475 16
23 86377 1876 16
26 36930 1548 11
18 48185 1997 19
41 69869 1637 13
38 68564 1425 106
23 116563 2178 20
33 146294 2443 154
27 72145 1532 13
20 75204 2195 15
26 37646 1676 12
27 124507 1400 9
33 132238 1982 165
25 82357 2016 17
25 158509 5055 29
26 166898 1351 102
15 116620 2978 22
24 141872 2820 18
138 155880 2142 125
37 146442 1914 162
26 19735 1282 4
46 78004 1323 106
32 53207 1495 9
66 69958 2145 165
28 99815 2429 157
27 136259 1518 14
24 27904 1738 14
21 142906 1559 9
19 48497 1831 15
33 190679 5545 288
23 86513 1911 16
31 75965 1542 7
16 75270 1413 9
21 24888 1771 12
17 16818 1739 12
18 100782 2080 22
191 146439 1324 98
16 35304 1803 18
32 139773 3140 155
46 84001 1556 12
21 37901 1363 21
20 30731 1386 5
15 18536 1611 14
56 78941 1782 114
20 89157 2027 15
28 64486 3185 112
21 61499 1367 4
36 176088 12720 165
43 172042 2140 165
38 232722 2728 159
389 206411 4152 227
38 153984 2158 21
35 87578 1384 7
20 88752 1249 7
17 42981 1253 6
19 96249 1333 94
39 111591 1515 16
24 104516 1241 5
18 132988 1255 4
17 102593 1419 10
53 49771 1901 553
34 93507 1463 11
18 70738 3811 25
35 25624 1579 10
16 69461 1871 11
23 65814 2383 29
28 101482 2299 15
21 57318 4039 132
24 92702 1529 14
23 59131 2590 13
21 148210 1356 6
33 69002 1474 115
48 71836 1408 93
47 71136 1667 165
25 75710 1451 9
19 21075 1670 9
33 73388 1533 108
26 93098 1458 12
17 19830 1521 8
18 188255 1436 104
20 89341 1374 90
29 81812 1409 100
18 41313 1737 12
20 91871 1904 12
26 55403 1342 4
16 28959 1299 84
19 25369 1463 11
