RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic
12885963 40709 50438 849544 689
12809070 41893 49760 852557 1304
12299244 42049 51393 845545 410
12191296 40188 50384 869721 854
12306255 45942 52003 847129 367
12520868 50615 52440 846501 464
12230145 42550 51197 869588 864
13023308 39842 50587 848557 1846
12637212 40210 49939 859859 1440
12839603 40151 52190 846034 460
12304993 42661 53434 843208 1278
11394757 40287 49834 854338 1257
12228743 40322 50101 884520 419
12737396 40186 52727 848559 1897
12186679 40256 50057 841068 1776
12280962 42713 52610 842621 919
11542320 40422 50185 841904 376
11751553 39897 49824 842144 427
12256117 40408 50136 841524 1197
12387985 40515 49997 846656 400
12127621 40231 49911 841797 367
12684700 40260 50075 850431 1560
11970800 40042 49921 841902 1737
12172972 40056 49997 879547 325
12087467 40203 50023 842727 411
12319213 40204 50006 849787 624
12459310 39990 50088 842456 477
12484194 42190 50713 841439 1307
12229447 40132 50169 844225 389
12537502 40271 50164 842965 1391
12664385 40304 50063 889521 443
12648950 41710 50312 847938 364
12458576 40455 50059 840977 389
12413966 40212 50163 844015 384
12629174 40266 50034 842547 364
12482582 40212 50069 849932 673
12650440 39980 49907 839267 347
12158330 44230 53557 852872 365
12271589 40141 49894 838610 348
12717658 40180 49812 840421 353
12350705 39868 49913 850124 372
12838982 40006 50105 839304 381
12881948 40257 49868 840155 1498
12474438 40114 49713 848754 360
12103689 40116 49799 839554 389
12188450 39906 49686 847296 363
12177616 40337 49823 837094 1664
12208508 39893 50659 851618 1302
12340068 40053 49981 842643 1517
12314101 40116 50363 850450 381
12287350 39889 50118 843609 2239
12222623 40178 55291 880060 1998
12262336 40155 50187 842792 1319
12492647 40526 49980 842002 361
12615329 40098 50007 851426 379
12693278 40258 50384 842207 1331
12873503 40373 50181 847379 694
12556307 40152 49861 850504 1814
12334777 40381 50496 842374 1158
12890375 41019 50196 860200 479
12627581 40275 50327 850176 366
13028975 40079 52627 844481 407
12885008 40264 50138 843548 1613
12872700 40019 52357 844282 421
12544764 40101 50053 842700 403
12656421 40227 50063 843366 1600
