RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic
51249 3858 7349 84674 23
50222 3036 7352 84580 24
50212 4179 7375 86311 25
52304 3701 7334 84440 25
52570 4821 7357 86347 24
51681 4988 7396 84268 25
51140 5007 7370 85350 24
50813 3611 7370 84625 25
51204 4398 7346 84369 23
52191 3236 7373 85048 26
53970 5377 7881 85790 24
50693 4177 7378 116692 25
50216 2890 7341 84473 24
50494 4474 7406 84838 24
50535 3615 7396 84264 29
51306 4683 7387 84132 30
50244 3890 7360 84641 28
50934 3292 7347 83805 24
53124 4121 7677 88994 25
51614 3877 7373 84048 23
50603 5157 7350 85087 25
52773 3344 7409 84206 25
52031 4937 7356 84591 28
51193 3712 7362 87044 25
53560 4535 7721 85763 33
51428 3008 7471 84188 24
50738 5499 7347 83879 27
50916 4879 7345 85012 25
50776 3321 7576 85051 26
52667 4562 7360 84184 28
51751 4594 7335 84369 39
51766 3383 7327 85466 24
51934 3985 7344 84686 23
50137 3068 7355 84091 24
50907 3639 7354 84570 43
51646 4532 7370 83934 24
50118 5258 7339 84372 24
50120 3808 7371 85206 27
53232 3867 7826 90456 25
52185 5164 8011 88243 28
53363 5076 7692 88947 24
51158 2802 7358 118221 26
52652 3357 7367 85041 25
50738 3745 7416 85248 24
51010 3951 7407 83963 23
50244 4841 7359 84540 25
50669 3992 7344 86804 25
51273 3822 7331 85402 24
50748 5130 7408 83832 23
49881 4558 7340 84588 40
50977 4023 7347 84172 24
52384 4916 7323 85646 30
53951 4538 7654 84350 24
50469 5358 7354 83803 24
52564 4717 7327 84838 23
50687 4098 7369 84034 24
50834 3664 7331 84139 27
49825 3637 7336 84579 25
51661 4535 7350 84951 24
51859 3702 7336 84286 23
50340 4081 7328 84064 95
50823 4384 7324 84733 22
51397 4386 7337 84165 23
50537 3207 7337 83731 23
51095 3580 7338 83806 25
50440 3713 7346 85781 25
52284 3877 7632 86000 23
50719 5125 7350 85029 25
50471 3225 7341 84838 24
51115 4335 7354 84519 24
51194 4486 7367 83689 25
50346 3325 7323 84784 24
50844 5353 7340 84437 24
51357 3775 7340 83822 23
52550 3916 7398 84519 24
51102 5064 7349 84767 24
52178 4708 7351 83762 23
52276 4466 7327 84826 23
50855 3778 7343 84506 24
51716 3938 7672 87689 25
53742 4270 7734 87583 41
51176 4103 7344 84461 23
52343 3247 7338 84913 23
51013 4352 7384 84225 23
52180 5477 7362 84244 23
52217 3727 7332 84574 23
50271 5698 7304 83904 23
52752 3704 7323 83822 23
50820 3510 7312 84321 32
50595 3445 7369 84194 23
52468 3448 7326 84284 23
51376 4806 7369 84698 23
50606 4985 7325 83771 25
51207 4187 7339 83560 23
53749 4608 7640 87825 25
52097 3632 7338 84092 23
50718 4427 7334 83560 38
49970 4940 7330 83887 29
50441 3312 7382 84573 23
51113 5298 7320 85441 28
51933 3770 7316 84137 24
50197 3875 7327 84227 24
50395 5451 7349 86177 55
54533 3897 7386 83317 24
50973 4195 7325 83543 23
52477 5362 7319 83234 23
50621 4438 7301 84397 40
50017 4110 7448 83988 23
50670 5326 7589 87922 25
51304 5880 7327 83621 24
50913 5381 7317 83459 28
51392 3316 7315 83869 24
51336 4264 7326 84620 23
53286 3147 7619 87094 25
54752 4789 7736 135956 30
52629 4691 7818 86192 24
50798 4465 7382 84082 24
50448 3779 7319 83805 25
50185 4497 7397 84409 24
50605 4098 7363 84385 24
50348 3899 7342 83516 24
50926 4797 7321 83812 23
52868 3704 7624 87575 28
51202 5971 7329 83511 24
52452 4177 7348 84223 25
50050 4407 7308 84226 24
50665 3053 7399 84353 24
51115 4159 7334 84112 24
51467 4732 7376 84224 24
50747 3680 7351 83958 24
51021 2854 7344 83887 23
51192 3152 7354 83513 24
51376 3994 7312 84933 41
50362 4833 7321 84871 26
50421 5103 7300 84979 23
51536 4034 7646 90139 25
51506 4577 7635 87390 25
51580 4408 7382 84569 23
50685 4041 7792 84570 25
51125 3581 7297 84174 32
50148 4832 7313 83717 24
52027 5039 7297 85173 24
50800 6600 7338 84222 23
50890 3627 7321 84630 23
49999 4213 7295 84346 23
51171 4073 7327 84123 24
50846 5118 7301 83714 24
50675 3780 7299 83919 24
50944 4406 7326 84648 23
50472 3817 7408 84728 23
50862 4925 7370 87959 25
53022 4334 7313 83465 23
50245 3702 7315 83242 24
51238 3933 7297 83761 29
52212 4082 7289 83973 23
51305 4236 7286 84660 24
50988 4662 7281 83257 40
51003 3366 7282 84646 28
50987 4393 7305 83847 23
51266 3494 7310 84258 30
51288 4403 7284 84199 28
50823 3548 7281 84225 23
50670 3722 7281 84276 23
50556 5178 7311 84228 28
50378 4483 7293 85329 24
52512 4620 7604 84890 23
50971 5170 7282 84190 31
50079 4996 7305 83428 23
51701 3115 7302 115457 24
51112 4645 7301 83199 24
51259 3860 7276 83401 24
50869 5188 7307 84080 22
51594 4058 7307 83071 23
51632 3280 7282 83281 23
50876 3615 7315 84422 23
50064 3164 7276 83681 25
50487 3568 7295 83664 23
50805 3347 7278 83046 23
51142 4273 7359 84417 26
52854 4546 7746 86492 24
50905 4158 7339 83833 24
51058 5415 7317 84161 24
50682 4020 7320 85318 24
50686 4957 7661 84492 25
51116 3949 7350 84395 24
50793 3513 7324 84199 24
50780 4845 7327 83695 24
50573 3179 7388 83723 24
51243 4257 7592 87024 26
54259 4548 7590 88365 25
52577 4430 7652 88800 24
51572 4911 7355 84486 24
52549 5508 7641 87503 25
53759 4605 7610 87162 24
50051 5216 7319 83340 24
53006 4668 7327 83305 23
50030 4943 7270 84629 24
54348 4887 7366 87805 37
52013 4863 7330 86999 28
50977 3529 7400 85927 27
51197 3967 7339 83373 27
51718 5035 7283 83360 25
50162 3899 7296 84015 57
51665 4354 7277 83770 65
50858 4608 7294 83031 25
50869 4847 7266 83060 38
49990 4905 7313 84746 24
53277 4277 7670 86304 24
51298 4549 7318 83761 24
50535 4017 7289 83697 28
50690 4203 7303 83530 25
50452 4080 7293 83695 24
50339 4537 7342 83333 39
51547 5972 7285 84231 22
52102 4402 7297 83129 23
51646 3011 7274 83442 23
50759 3449 7298 83339 35
51161 4433 7283 83369 26
50419 4449 7270 83107 27
51744 3650 7295 83114 25
50181 4153 7270 82972 23
53031 4094 7559 86566 26
51555 4311 7291 83858 24
50739 3601 7268 83625 39
51361 4015 7268 84227 24
51191 4758 7293 84994 24
51923 3189 7274 83106 24
50477 3518 7308 83823 23
52874 3102 7318 83511 43
51839 4809 7321 84269 40
50840 4440 7378 83856 24
51615 4885 7284 84378 24
50743 3647 7270 83025 25
52243 4005 7275 83079 37
50588 3686 7284 84333 24
50169 3215 7260 88004 26
53378 4824 7350 84057 27
50414 4832 7284 83399 26
50865 4112 7299 83355 24
51528 3334 7293 83080 24
51321 3693 7310 83072 23
50804 4836 7263 83622 24
50788 3664 7307 83351 23
50552 4446 7299 84011 25
50362 4268 7299 83942 23
50727 2995 7276 83174 24
50488 4063 7271 83064 27
51370 3830 7289 83711 24
51264 4670 7272 83420 24
52304 4736 7944 85601 26
52354 3635 7577 83607 26
50511 3704 7276 83876 26
53805 5126 7405 83794 24
50777 4305 7287 83099 24
51942 4331 7285 83053 24
50834 3690 7338 83785 23
50762 4041 7274 83658 23
51901 3409 7274 83148 23
50276 3525 7298 83010 22
50552 3369 7278 83406 23
51612 3984 7259 83025 24
50380 4301 7264 115330 23
52227 3834 7282 82859 23
52296 3943 7335 85254 30
54005 4617 7749 87556 26
52303 3962 8866 87606 33
52260 5120 7587 87509 25
50063 3813 7291 83062 24
52159 5162 7268 83106 59
50341 5171 7279 82973 23
51055 3534 7276 83132 24
50974 3799 7279 83021 32
51345 3804 7292 83094 23
49514 4631 7272 82860 23
50898 4010 7239 82921 25
51836 3100 7272 82692 23
52723 4250 7267 83131 24
50612 3539 7267 115722 25
52486 6094 7595 85304 26
51555 3762 7278 83838 25
50954 4561 7266 83282 23
50596 4431 7272 85538 25
51891 3515 7584 83437 24
51581 4016 7249 83232 23
50624 6706 7249 83766 24
50429 4350 7273 83048 23
50802 4036 7238 83369 24
50641 5575 7256 83764 24
50710 3893 7264 83473 24
51766 3152 7268 82921 23
50741 3388 7265 82945 23
49650 5355 7274 83296 24
53277 4615 7576 86387 25
50402 4324 7292 84210 24
49993 6132 7268 82948 23
51101 4008 7307 82914 25
50721 4049 7288 83823 24
51385 3230 7271 83550 24
50574 4047 7279 82884 24
51154 4129 7276 83463 24
51475 4412 7292 83368 25
52053 3937 7293 83385 24
50167 4056 7243 82815 24
50845 3459 7245 82359 47
50639 4236 7269 82791 23
51208 4523 7246 86136 25
54739 4269 7726 86822 24
53190 2999 7240 83027 24
51194 3362 7254 85147 76
51476 4069 7267 83798 23
51233 4066 7252 83090 22
50958 3995 7246 82860 23
51203 4363 7337 83002 23
50528 5952 7256 83405 29
50698 4026 7271 83389 28
