RIndependent Gonzalez BaselineGreedy Bottleneck Random Dynamic
40 40 40 40 45 62
39 38 50 36 45 62
35 42 49 36 45 62
45 41 52 39 46 62
42 45 42 44 50 62
39 42 51 39 49 63
40 49 51 43 44 64
43 42 51 40 46 64
44 50 52 41 41 64
49 43 52 48 45 64
41 57 53 45 53 64
40 46 51 41 49 67
47 52 52 46 58 68
50 50 52 54 64 68
50 55 52 44 60 68
41 52 41 49 72 85
48 67 52 49 70 85
55 70 52 48 81 85
47 69 57 48 58 85
49 72 57 45 65 85
58 63 57 48 65 85
59 68 69 50 74 85
53 85 69 60 84 85
59 107 70 60 116 122
64 93 70 82 128 122
81 110 74 67 102 122
72 86 72 69 92 131
75 90 92 74 146 142
72 103 101 68 119 142
75 142 128 72 108 146
86 130 103 85 108 178
86 123 113 80 102 241
86 100 153 90 127 241
86 171 141 106 120 275
111 183 141 92 144 394
115 132 121 114 369 828
130 166 220 112 156 900
