RIndependent Gonzalez BaselineGreedy Bottleneck Random Dynamic
57599 6809 5544 70828 38 59
43096 5230 4179 65030 45 27
37697 4016 3704 68885 45 54
41079 5494 3676 94655 32 48
83535 4541 4391 63704 45 27
43335 4906 5822 63343 47 37
83725 5094 4736 135895 43 27
42141 5635 3576 54949 30 74
31587 5909 3473 50351 31 41
33879 5334 4126 53669 30 38
34485 5119 13371 109958 45 38
66826 25890 17692 120569 31 42
50571 10510 10856 64932 46 28
45997 3936 4271 59292 30 29
40406 3365 5840 70394 31 40
64325 16153 7589 79731 29 38
37865 3212 3684 60171 44 27
39297 3971 3886 54716 43 42
38591 3866 3709 53724 45 27
36139 4379 3359 54502 46 35
38117 4686 3113 53933 32 31
75543 9153 6775 102884 46 42
39492 6031 5599 64278 31 42
42652 12965 20388 105548 52 69
110251 21343 48035 66425 44 84
49401 7856 8157 61260 46 39
37546 7167 3887 339975 32 38
51629 4747 3759 54045 31 67
47268 4741 23516 166044 33 38
71701 6858 31585 115623 31 60
51401 4741 5618 56260 46 28
40594 3560 3349 70819 43 39
47587 3381 8012 77507 1460 60
62004 4423 6925 83453 29 39
65212 6674 6047 94556 31 28
86266 5090 4647 74691 45 40
64806 7152 9326 110760 31 42
44697 6703 6558 58875 36 39
87820 7571 3430 52946 31 80
38696 3713 3514 226372 48 40
74031 9607 7874 108716 136 41
57168 13087 7821 82811 46 39
49418 10174 6237 97553 37 32
327376 10646 7843 71882 30 40
40669 4242 3886 130716 44 57
51934 5654 6174 79328 32 57
80842 4101 5948 62300 32 152
65611 7800 10511 72714 49 37
42340 3770 3567 114293 233 29
45522 5185 5051 51166 44 59
40423 5552 4172 85888 31 39
40440 3700 4173 52517 46 29
40141 4859 4044 122001 49 53
80736 4936 3680 70204 28 24
47017 5830 5830 59143 31 28
40491 6435 4767 58652 30 39
118288 25386 5077 72015 32 31
38573 6686 4229 72061 31 28
45534 4266 4750 62529 32 27
39911 4561 5282 60277 46 94
45571 4537 4050 59408 32 27
39510 3586 4538 176919 44 59
52627 5742 7261 80276 50 46
60859 7944 23686 218449 36 136
77150 4773 3569 58271 45 29
45718 3286 4330 54775 30 36
37158 5017 4248 60807 32 28
72355 68564 31313 187748 46 64
75669 7438 21318 89051 42 36
53145 5652 4753 110048 46 40
44683 9166 28574 98907 32 663
68967 10341 5129 72972 44 39
114849 5424 9445 209842 105 41
67235 11352 8633 90841 46 29
84491 7387 7358 101936 47 39
67704 4870 5746 142874 47 39
69047 17931 10687 87786 45 69
85254 28703 6873 92181 43 60
65778 12616 6667 94877 44 37
138539 12089 3416 81635 63 49
62071 12892 5424 176265 1615 38
76735 6743 6425 144005 44 122
51136 4747 7451 61619 27 42
42301 4254 4424 79606 46 40
83640 13353 7035 81557 46 29
50660 5464 4787 77288 47 40
53437 5561 3920 63298 46 29
67415 7507 9719 156286 32 67
80406 12156 4615 184274 50 43
