RIndependent Gonzalez BaselineGreedy Bottleneck Random Dynamic
49384 5792 6138 44031 30 38
39754 7345 5441 39708 30 139
46792 6636 4601 40047 46 38
47044 5450 4157 45275 45 329
40357 3577 2877 42661 44 40
43391 10273 4006 46689 45 80
45313 5778 2958 30216 30 41
32908 4267 2851 35840 30 27
32572 4646 3703 37575 47 27
39356 4485 13863 47722 30 121
34520 5214 3594 35112 47 39
39689 5819 3540 42617 30 118
35017 5901 3966 29951 41 230
35181 4793 2557 38129 30 310
35810 5459 4235 39439 29 39
32488 4667 2982 39723 30 39
31416 3083 4496 38812 27 119
25819 3824 3604 45888 43 48
46071 4670 2906 36206 30 190
34695 6934 2848 33648 31 143
31642 3287 3112 32976 29 27
31763 5964 3319 33352 52 37
41591 6615 4199 37882 34 27
29823 3188 2988 34086 29 48
26650 6191 2528 28808 29 65
27336 4264 3082 34296 29 28
35009 3873 2488 39188 30 28
27879 7435 2978 39708 28 27
25658 3137 3347 37520 30 75
33505 4713 2528 35303 27 39
23984 3559 2471 26155 27 24
25034 3461 2983 33899 28 519
29192 4205 3039 33488 27 86
29143 2944 2972 27379 27 91
31252 5958 4944 35938 87 57
30666 5852 4365 37595 27 23
33400 3579 2849 36562 27 26
32473 2853 3006 33172 26 26
30543 4103 2866 36447 28 23
30077 4288 3412 36968 27 39
35713 3435 2899 36599 27 21
27325 3792 2838 39745 27 47
33239 3890 3296 31920 29 47
27670 3740 3126 29137 29 25
30453 3513 3090 39857 30 40
30954 4445 3248 31694 29 28
29005 3645 3007 33736 42 2298
35035 4311 3170 36821 27 27
33630 4048 3291 34242 29 103
29737 4942 3032 38824 29 102
26233 3024 3055 33976 29 27
28089 4231 3827 38447 47 682
43133 4616 3265 32106 27 27
30514 3638 2805 37563 32 83
29504 3948 3071 46152 43 60
29492 2891 2879 34484 29 38
26498 4280 2609 34062 29 42
30230 3036 2580 29133 26 38
27619 2840 2573 30416 28 38
26794 4605 2641 31465 27 135
40488 3523 4322 36353 59 125
32789 5910 3473 31022 27 102
35356 4706 2507 39836 27 59
33365 4036 2474 36583 27 51
36237 4702 2616 38453 31 46
31677 3918 2880 30314 27 37
28723 3901 2442 37139 27 25
29914 3721 3525 36820 27 25
35434 5498 3002 31724 27 50
26481 5895 2805 31045 46 58
23949 6145 3287 33455 30 65
39041 6538 3845 40462 30 26
30925 2816 2682 34273 30 53
29271 5228 2819 29330 29 84
32067 3883 2539 32437 41 90
27689 3384 3069 34330 29 95
30058 4598 2663 40002 29 55
33196 5371 2820 30303 33 283
29742 2922 2537 33134 33 27
29133 4749 2689 28707 30 73
34985 4607 2952 33455 30 70
29602 4037 2798 35493 29 61
26328 3424 2470 24783 31 26
24788 3583 2345 33910 45 27
30506 3649 2521 35631 29 25
27596 4124 2519 40106 28 236
36288 8509 2646 53398 31 54
28414 3656 2401 33065 31 89
28414 2551 2456 31916 30 211
29792 3084 2101 31099 30 46
32116 6720 6004 41428 27 38
24029 3006 2059 25663 27 22
27669 3946 2139 29945 28 23
26477 4884 2283 27593 29 43
25169 3319 2222 25283 27 77
22487 4031 2138 29976 27 24
30397 3859 2165 29860 27 33
24883 2521 3044 32766 27 289
29046 2843 2359 29842 27 24
24021 3151 2266 27557 26 98
21688 2664 2092 24360 27 64
23995 2756 2297 30993 29 28
23334 3076 2558 33503 27 82
