k Sparsification RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
15 1716 1825 663 425 4962 317
18 3374 2272 770 615 7611 339
21 2734 2086 635 562 6691 270
24 1185 1450 600 372 3904 469
27 2243 2052 623 480 5753 312
30 1086 1361 526 448 3528 285
33 1470 2002 666 476 4405 236
36 1315 1427 573 384 4102 307
39 1715 2058 586 468 4839 297
42 898 1672 486 357 3358 330
45 903 1611 528 412 3693 365
48 1929 1908 588 598 6302 292
