k Sparsification RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
15 2439 2253 536 421 5387 3565808
18 2568 2012 581 24630 5716 186
21 2622 2156 580 500 6087 208
24 1956 1797 547 405 3206852 215
27 1777 1930 3496458 399 4496 225
30 1470 1650 536 375 4019 250
33 1861 2995 598 528 5203 355
36 1650 2174 562 421 4626 291
39 2481 2658 662 559 1535986 284
42 1965 2304 619 522 5445 315
45 1749 2394 637 495 5094 307
48 1385 2042 600 445 4387 329
