k Sparsification RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
15 21 16 27 10 11 29
18 15 11 18 9 8 19
21 15 10 18 8 8 17
24 21 11 24 10 10 31
27 20 11 24 10 10 24
30 27 13 32 10 10 35
33 14 11 24 9 8 14
36 21 10 29 8 8 34
39 12 14 17 6 7 15
42 18 9 23 6 7 25
45 14 11 18 7 7 28
48 15 10 17 7 8 15
