k Sparsification RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
15 2468 1854 529 396 5201 184
18 1846 1709 530 368 4238 206
21 1141 1822 479 319 3423 199
24 1785 1865 546 384 4460 203
27 1410 2390 499 313 3780 294
30 1955 1843 592 449 5046 239
33 1552 1928 575 420 4249 261
36 1924 2006 585 524 5244 288
39 2241 2154 639 590 6565 267
42 2242 2473 673 663 6927 340
45 2216 2089 610 616 6995 317
48 1636 1802 624 486 4916 296
