k Sparsification RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
15 18 13 24 10 11 19
18 31 17 44 14 14 39
21 42 21 76 19 18 20
24 27 13 36 12 12 38
27 41 17 54 14 14 17
30 18 9 27 8 8 18
33 27 12 38 11 11 25
36 16 9 24 7 8 15
39 11 6 15 5 6 11
42 13 7 25 6 6 27
45 7 6 12 4 4 10
48 12 7 20 6 6 21
