EStree IncrementalDynamicSSSP Dijkstra Dsource ScaledEStree
4 2185 169 1 2
6 6880 169 1 3
5 12754 174 1 5
6 5423 174 1 48
7 14214 175 1 76
5 2619 173 1 8
5 5431 180 1 71
3 9863 176 1 3
91 73544 184 1 83
4 40897 171 1 60
34 121962 186 1 58
34 117057 187 2 49
7 22659 171 1 7
4 18695 171 1 5
4 18792 171 1 5
4 18900 182 1 5
3 2379 169 1 2
4 20786 175 1 7
9 31932 184 1 10
19 63547 193 1 18
3 3556 175 1 3
23 79907 196 1 40
32 82141 209 1 42
9 3527 173 1 2
4 2138 172 1 5
9 22605 181 1 10
12 38125 184 1 18
4 19251 178 1 4
4 4834 171 1 6
3 2568 179 1 3
37 62207 190 1 15
38 98679 198 1 17
5 2735 177 1 5
4 3066 179 1 5
54 105966 201 1 11
4 4095 175 1 2
8 25984 192 1 7
5 4683 176 0 1
3 5922 177 1 2
4 3661 176 1 2
4 3595 177 1 11
29 60378 194 1 14
5 19976 178 1 7
3 2003 178 1 2
4 2159 175 1 37
3 1811 176 1 4
3 3159 177 1 2
3 2237 176 1 14
17 29344 179 1 54
3 2559 176 1 2
2 2615 176 1 2
11 34448 187 1 11
10 23657 184 1 5
5 23868 185 1 5
6 2146 177 1 7
4 1756 178 1 2
5 2629 176 1 2
17 22975 181 1 36
3 3236 177 1 3
4 2483 180 1 3
2 2614 188 1 2
8 21171 182 1 6
4 19786 183 1 5
10 21682 182 1 5
3 2336 177 1 5
3 19240 182 1 5
5 2601 176 1 3
4 1916 178 1 2
4 2715 180 1 3
5 1684 177 1 2
11 19180 181 1 8
5 1839 176 1 2
2 2241 179 1 2
3 1884 180 1 2
6 2161 177 1 2
3 2300 175 1 2
11 21888 180 1 14
3 5378 181 1 3
10 30597 189 1 21
3 2394 178 1 3
7 18882 181 1 5
5 1637 177 0 1
4 1561 178 0 1
10 19038 184 1 14
3 1461 178 0 1
5 19375 195 1 6
5 18996 186 1 5
5 19032 185 1 5
9 19031 187 1 8
5 3471 182 1 2
3 1421 174 0 1
4 1729 180 1 2
4 2005 179 1 2
3 1375 176 0 1
3 2214 180 1 2
3 2204 177 1 2
4 1365 176 0 1
5 1577 177 0 1
3 1566 177 0 1
6 2170 179 1 2
4 2055 177 1 2
5 1913 179 1 2
4 1865 177 1 2
4 2116 196 1 2
3 2473 181 1 3
3 2320 178 1 3
3 2611 177 1 3
3 2672 178 1 2
3 1889 178 1 1
4 1824 179 1 1
5 2223 177 1 2
4 1866 177 1 2
4 21919 181 1 6
5 2073 182 1 3
5 3763 179 1 2
2 2438 190 1 2
4 2229 179 1 3
3 19726 199 1 5
3 2697 181 1 2
3 3727 179 1 4
3 2885 179 1 3
81 210152 278 2 10
93 211942 244 1 8
100 235486 246 2 15
10 40562 252 2 7
5 9873 188 1 3
4 5779 188 1 2
8 34155 189 1 5
8 32490 195 1 5
6 29543 199 1 5
6 30082 205 1 6
6 27051 203 1 5
98 235710 235 1 37
5 2526 200 1 2
5 2191 187 1 2
4 2177 188 1 2
4 1974 188 1 2
4 1932 190 1 2
3 2151 188 1 2
16 20237 239 1 13
18 68036 234 1 53
10 36686 197 1 7
6 39169 200 1 52
5 1942 185 1 2
11 17906 184 1 7
5 2254 181 1 3
4 2482 181 1 3
3 1798 181 1 2
3 1757 182 1 2
114 205937 224 1 18
5 2538 183 1 2
5 18418 190 1 6
4 2287 185 1 15
3 1826 184 1 4
4 1766 186 1 2
4 2279 185 1 3
4 2260 183 1 2
3 1946 182 1 6
4 2687 191 1 3
3 2646 184 1 5
30 112901 221 1 51
5 2374 183 1 2
3 2237 182 1 3
11 25271 192 1 18
6 2056 184 1 5
5 2016 205 1 2
5 2115 192 1 2
5 2066 198 1 2
4 3430 194 2 6
6 2403 185 1 2
35 35941 190 1 24
4 20951 184 1 2
3 3646 187 1 98
5 2378 184 1 3
53 79610 203 1 80
4 5853 187 1 2
3 4132 182 1 3
6 2519 187 1 2
4 2567 186 1 2
6 1766 185 1 2
6 1830 187 1 2
5 2116 183 1 2
5 2037 185 1 2
5 1783 185 1 2
6 2838 185 1 3
5 1777 185 1 2
4 1775 186 1 2
5 2082 183 1 2
6 2024 185 1 2
5 1875 184 1 8
6 2005 187 1 2
5 1979 182 1 2
6 1900 184 1 2
7 2780 182 1 6
3 2212 183 1 5
3 2467 185 1 2
2 4835 188 1 2
3 2163 184 1 5
4 26259 195 1 7
2 2364 184 1 3
46 21495 190 1 35
4 4161 183 1 3
4 3943 186 1 2
7 19016 191 1 11
4 16252 186 1 3
5 14062 196 1 2
33 106894 224 1 49
4 4144 189 1 2
4 4412 184 1 4
3 4540 185 1 4
7 29396 194 1 6
4 2744 185 1 2
4 2031 189 1 3
3 2173 184 1 2
6 2150 186 1 3
5 2661 187 1 3
5 4983 186 1 2
4 3999 187 1 3
28 96350 222 1 47
9 33694 203 1 4
7 28951 204 1 5
6 29260 206 1 5
6 26808 205 1 5
6 27034 205 1 5
5 24059 205 1 5
4 24325 205 1 5
4 20427 200 1 4
4 20602 203 1 5
5 2226 187 1 3
4 1783 186 1 1
4 1820 187 1 2
3 2130 189 1 2
4 1752 187 1 1
4 1734 191 1 1
3 3349 190 1 2
3 1788 188 1 2
4 1796 186 1 2
4 2111 192 1 2
4 2819 187 1 2
4 2043 188 1 2
4 2365 188 1 2
3 3081 189 1 2
4 1716 190 1 2
4 2041 187 1 2
4 2721 188 1 1
6 2807 188 1 2
4 2044 188 1 6
6 2730 190 1 2
9 1729 187 1 2
5 2732 187 1 2
8 37169 203 1 10
4 20983 204 1 5
4 20928 205 1 5
5 24697 220 1 4
4 21896 207 1 7
3 2468 190 1 3
2 2275 198 1 2
4 21761 201 1 4
4 21056 205 1 5
4 2289 191 1 3
8 33833 212 1 7
6 21321 206 1 6
4 21258 208 1 5
3 2525 189 1 3
3 2230 191 1 2
2 21276 208 1 4
4 21598 208 1 6
3 2189 195 1 2
3 2117 192 1 2
3 2182 192 1 2
4 21712 207 1 5
5 21213 210 1 5
5 1835 189 1 2
7 21121 204 1 6
5 2396 198 1 3
5 21305 207 1 7
4 2453 190 1 3
4 1711 190 0 1
4 1783 188 1 1
3 2510 190 1 2
4 22753 207 1 6
282 332401 252 1 18
9 46762 206 1 3
3 11954 195 1 3
8 20955 197 1 8
4 3746 193 1 3
3 2873 192 1 2
3 20831 199 1 12
5 16992 200 1 9
4 3144 196 1 2
45 53621 213 1 31
304 320705 249 2 40
5 3774 198 1 2
4 3522 200 1 2
6 21042 219 1 4
4 2649 198 1 1
4 17523 218 1 3
4 2829 197 1 2
2 11690 206 1 25
5 2846 196 1 3
5 16440 200 1 8
5 17137 201 1 2
3 2881 199 1 6
8 19640 201 1 3
4 16790 214 2 4
7 22995 251 1 16
6 2770 213 1 9
5 2675 215 1 11
3 2779 211 1 5
5 2554 213 1 6
4 29544 268 1 6
292 288683 257 1 6
4 26583 221 1 9
5 17458 208 1 5
5 15238 206 1 6
13 23177 213 1 8
4 14246 202 1 5
4 2274 200 1 2
2 3220 201 1 6
3 13787 199 1 3
4 42709 201 1 2
2 47214 207 1 6
3 9610 200 1 2
4 8673 202 1 2
266 280063 256 1 14
6 3862 209 1 20
14 28065 209 1 21
42 44311 214 1 45
4 2785 204 1 2
6 14958 204 1 8
202 197141 265 2 13
5 22392 223 1 8
5 20882 219 1 7
11 15077 207 1 8
5 2278 205 1 2
3 2179 203 1 2
4 9441 204 1 3
4 2493 203 1 3
3 3195 203 1 2
3 4244 204 1 3
3 4220 203 1 3
4 8719 204 0 2
7 15914 207 1 8
82 83746 259 1 24
9 18685 212 1 10
5 15341 208 1 6
7 17864 211 1 5
4 2794 205 1 3
5 16126 208 1 139
5 3919 207 1 2
5 25169 217 1 8
3 2833 204 1 2
3 6925 205 1 3
3 8626 206 1 3
5 2267 203 1 3
27 22066 210 1 11
7 26001 222 2 9
4 2492 202 1 2
3 2760 203 1 3
3 17364 210 1 5
6 15554 209 1 6
5 16370 210 1 5
4 2114 202 1 2
4 2742 202 1 3
5 12663 202 1 3
4 4607 203 1 2
5 2607 203 1 2
5 2540 203 1 2
4 2606 204 1 8
4 2902 201 1 2
4 2423 203 1 3
4 1937 200 1 2
4 16910 205 1 5
5 2674 202 1 3
6 18119 217 1 6
6 2970 206 1 3
5 2000 201 1 2
5 1911 204 1 2
12 15884 207 1 7
5 2286 203 1 2
4 2216 203 1 2
4 2183 204 1 2
5 2701 203 1 2
6 2038 203 1 2
4 1814 202 1 2
3 1916 202 1 3
6 2205 204 1 2
4 1867 202 1 3
4 1818 205 1 2
6 2446 203 1 2
4 3088 205 1 3
4 17443 208 1 5
4 16282 211 1 5
19 6910 202 1 2
6 2222 203 1 2
3 2350 202 1 2
5 15211 205 1 6
4 1950 202 1 2
6 3618 201 1 2
4 15359 215 2 7
5 15016 234 1 7
10 25674 300 2 10
6 2407 207 1 2
34 27707 271 1 9
5 2604 211 1 3
6 15708 206 1 5
11 22822 220 1 6
6 2537 206 1 2
11 15275 209 1 7
8 15246 211 1 9
5 14729 209 1 7
6 21615 220 1 9
4 18403 226 1 6
5 16517 214 1 8
4 4425 205 1 3
5 14796 207 1 5
5 15152 209 1 6
5 7663 204 1 2
5 18255 211 1 6
5 31569 238 1 9
5 21930 227 1 4
4 21807 238 1 5
4 2502 205 1 3
4 27312 302 14 7
7 3416 227 1 2
5 2374 212 1 3
5 2316 479 1 3
3 1988 220 1 3
8 37588 246 1 7
5 5814 206 1 3
5 25163 227 1 7
4 22519 229 1 6
6 25125 234 1 4
6 4485 206 1 2
4 21924 230 1 6
5 3840 207 1 2
4 3649 203 1 2
3 23186 241 1 6
4 22233 244 1 6
4 2252 207 1 2
4 1950 207 1 3
4 2098 204 1 2
2 1926 203 1 2
4 2443 210 1 2
3 5511 213 1 3
3 4764 235 1 3
6 22632 235 1 7
4 2633 206 1 3
3 2126 203 1 2
4 1923 205 1 2
2 1789 205 1 2
4 2157 208 1 3
4 2180 204 1 2
3 1935 203 1 2
3 2294 204 1 4
3 2111 203 1 1
3 22979 222 1 5
3 5065 206 1 2
5 21574 229 1 5
4 2550 204 1 2
4 2535 209 1 3
5 1864 207 1 2
5 2171 207 1 2
4 2224 206 1 2
18 3857 207 0 1
4 2174 207 1 1
3 2219 206 1 2
6 1800 205 1 2
3 2026 205 1 2
3 2110 205 1 2
5 22116 229 1 7
5 1366 206 0 1
5 1775 209 1 2
4 1838 204 1 2
5 2143 209 1 2
5 1771 206 1 2
4 1723 206 1 1
5 1723 206 1 1
8 21799 254 1 6
15 1910 216 1 2
7 4469 206 1 2
5 1576 207 0 1
5 1862 204 1 2
5 1816 205 1 1
4 1990 206 1 2
6 2861 209 1 2
3 2025 207 1 2
8 32111 236 1 7
5 25062 238 1 5
4 21481 241 1 3
8 3190 211 1 16
3 22081 245 1 6
5 2700 206 1 15
4 25039 239 1 5
4 2032 206 1 2
6 18734 221 1 2
3 2127 206 1 2
2 1961 207 1 1
3 19299 222 1 3
3 6749 206 1 12
4 1866 206 1 1
7 18357 219 1 3
4 2180 207 1 2
3 4660 205 1 6
3 1737 206 1 4
3 1711 207 1 2
7 18679 222 1 5
4 1847 233 1 2
6 18275 233 1 2
4 2159 220 1 2
7 45791 272 1 12
7 19081 224 1 7
9 18078 233 1 7
5 21892 232 1 5
4 3788 215 1 4
4 1931 206 1 2
5 1796 206 1 1
4 5388 211 1 4
8 24622 288 1 14
11 2271 215 1 10
10 2280 213 1 13
5 1913 215 1 11
5 1844 232 1 6
5 1921 227 1 2
6 1859 214 1 2
3 2006 215 1 2
5 2572 213 1 3
3 26495 312 2 6
6 2326 217 1 2
5 1899 221 1 2
5 2178 217 1 3
6 1883 220 1 2
6 1883 211 1 2
5 1800 215 1 2
4 1961 217 1 2
5 1884 222 1 2
3 25564 304 2 7
5 22716 292 1 6
4 21720 286 1 5
6 10808 233 1 2
4 4784 216 1 3
6 2459 211 1 3
8 4710 227 1 2
13 2242 220 1 2
7 20585 244 1 13
6 6660 211 1 2
4 1785 209 1 2
3 2085 209 1 2
4 4639 213 1 2
3 2092 209 1 2
3 2056 207 1 2
7 29841 236 1 8
4 22943 262 1 5
4 22003 235 1 5
10 5610 214 2 4
4 1785 217 1 2
5 2353 210 1 2
2 1920 209 1 2
3 21397 234 1 5
4 1990 207 1 2
2 1983 209 1 1
4 2007 209 1 2
3 1895 208 1 2
4 1807 214 1 2
4 1976 228 1 3
4 2215 215 1 2
4 2150 209 1 2
3 2083 207 1 2
5 22409 224 1 6
5 2523 209 1 2
5 2011 213 1 2
4 2096 209 1 2
8 1784 211 1 2
5 1762 212 1 2
5 4284 210 1 2
4 3829 210 1 2
5 3627 208 1 1
5 4106 207 1 2
5 2293 209 1 2
4 1811 208 1 2
4 1980 214 0 2
5 6098 210 1 3
6 2417 208 1 2
6 2277 211 1 2
6 2064 208 1 2
5 1958 208 1 1
3 2392 210 1 2
6 19859 222 1 5
8 1842 212 1 2
7 2165 209 1 2
6 7540 217 1 3
3 2408 209 1 1
6 2968 212 1 2
5 2935 220 1 2
4 2555 217 1 2
11 24282 233 1 14
6 4054 210 1 3
7 5137 209 1 2
4 4122 210 1 2
7 21711 231 1 6
8 2171 208 1 2
8 4273 210 1 2
11 2052 211 1 2
5 24159 232 1 8
