EStree IncrementalDynamicSSSP Dijkstra Dsource ScaledEStree
433 211172 39 287 409
6 7851 41 0 1
3 7322 41 0 1
17 7479 40 1 25
20 9797 40 1 26
19 8666 41 1 27
20 10757 44 1 27
22 10496 39 1 27
23 11028 41 1 29
27 11533 39 1 27
26 10501 43 1 29
26 13635 43 1 30
29 13077 44 1 32
31 14019 47 1 34
35 16425 56 2 39
41 18317 65 1 43
48 16566 50 1 33
37 16016 46 1 34
40 16542 47 1 35
39 18278 50 1 38
44 16898 47 1 35
43 16495 50 1 39
46 20188 53 1 41
46 20674 52 1 39
68 32483 60 2 100
115 19679 60 5 138
114 14770 58 66 129
115 15840 58 60 128
110 15097 59 65 129
109 13917 71 67 144
126 13799 61 69 134
120 16986 65 77 144
6 15543 65 14 40
15 14342 67 17 40
16 13659 70 24 41
21 11115 69 13 35
17 11251 66 14 32
12 9871 65 12 30
13 9005 66 10 28
13 9442 67 13 27
10 8241 75 12 26
12 9950 70 12 25
10 9422 70 12 23
10 9062 71 10 22
10 9087 71 15 21
9 8849 72 12 20
11 8332 72 13 21
61 44307 87 36 29
13 14157 89 14 19
9 8217 87 11 13
11 8539 85 10 11
7 7678 89 10 9
6 6953 87 8 8
5 5812 84 8 5
5 9194 91 9 68
29 24630 93 19 79
29 20633 83 16 72
28 22763 85 16 69
30 20703 86 11 67
26 18725 88 13 66
25 21571 85 12 63
22 20543 84 11 59
5 6259 97 9 6
26 20912 90 16 62
23 21858 90 17 63
25 21413 86 11 57
20 17396 91 14 58
21 15727 93 13 55
21 20273 89 15 51
20 18070 88 12 49
20 20266 88 16 49
17 19813 96 16 48
20 16511 91 12 46
19 18867 91 12 44
17 17090 92 10 43
16 13370 112 11 44
18 28094 100 21 45
20 20295 97 16 39
15 13858 96 12 38
14 17748 97 13 37
15 17291 96 11 34
13 13129 95 10 34
12 12998 97 13 31
13 15747 98 15 29
11 14261 97 12 27
10 13416 99 11 26
10 14282 97 15 25
11 14315 100 12 23
9 13378 100 17 23
9 12301 100 13 22
8 11851 103 13 18
8 13303 101 16 19
7 11587 103 13 18
7 11069 101 14 16
6 10014 103 13 15
6 8749 104 12 14
5 10945 104 14 13
5 10063 103 12 11
7 7607 105 11 12
4 7415 105 10 4
16 19456 105 17 24
13 17808 106 17 17
11 14530 106 15 17
10 13192 113 13 14
8 11909 106 11 13
7 10886 108 12 11
7 10032 123 16 10
5 8950 109 12 9
5 7816 111 12 7
14 23568 112 9 22
2 6785 112 1 6
3 3257 110 1 5
4 10218 110 8 5
4 7626 110 1 5
4 7212 111 1 2
4 8267 110 1 7
4 4128 112 1 4
4 7381 112 0 4
4 7817 111 8 5
