EStree IncrementalDynamicSSSP Dijkstra Dsource ScaledEStree
130 82381 23 194 271
46 12248 30 1 45
14 11756 31 1 24
5 8344 31 1 5
12 6434 32 1 18
8 5959 31 1 12
62 9404 35 1 79
2 2727 35 1 3
4 2539 37 1 14
5 3385 35 1 10
3 2281 35 1 5
7 5261 37 1 10
9 6339 38 1 13
4 3375 40 1 4
9 10244 42 1 13
70 6734 43 66 112
2 5138 43 88 107
3 2790 43 6 12
3 3023 45 7 14
3 2225 45 6 4
7 4439 45 10 7
7 3452 45 8 9
5 2924 47 7 7
6 2825 47 7 9
6 3783 46 8 6
3 3736 48 9 4
4 2098 48 6 8
7 4527 49 10 8
89 3907 52 89 143
2 2811 53 7 6
3 2204 51 6 4
3 2079 54 6 5
4 3149 55 8 6
3 2179 54 6 4
4 2660 53 7 4
3 2647 54 7 6
89 2142 54 87 151
3 2196 56 6 7
3 1231 56 1 6
3 865 54 1 2
4 859 55 1 2
3 925 54 1 2
2 2660 56 6 4
2 2057 55 6 4
26 16769 61 19 32
4 1770 59 1 2
2 2892 59 6 11
3 1725 58 1 8
3 1253 58 1 6
3 1100 58 1 4
3 1250 58 1 1
2 2941 60 6 6
2 2926 60 7 5
3 1154 61 1 2
8 5286 61 11 11
3 2947 62 7 4
3 1507 61 1 4
3 1120 61 1 2
1 313 61 0 1
3 1257 61 0 1
3 2993 61 6 7
3 1532 62 1 2
3 1646 62 1 2
20 12505 65 16 18
8 5819 65 9 18
10 10205 70 20 8
2 3729 68 1 5
3 2601 69 1 2
3 2204 69 1 5
6 4373 68 8 9
4 2083 69 1 5
3 1771 70 1 2
3 3124 71 6 4
3 1509 71 1 2
3 2248 71 1 1
3 1609 70 1 1
2 2684 71 1 6
8 5403 71 11 7
3 2119 71 1 2
3 2529 71 7 5
3 2687 73 6 4
3 2680 72 6 4
6 3080 72 8 8
3 2096 72 1 2
3 1836 72 2 4
8 5870 73 11 4
3 2389 73 1 2
3 2622 74 7 6
9 5052 75 12 12
3 1517 74 1 2
2 2610 75 7 5
3 3252 94 8 4
2 2539 75 6 4
6 4516 76 10 8
3 2716 76 7 6
3 1587 76 0 2
3 2038 76 1 2
14 1722 76 1 2
2 2618 77 7 6
2 2288 77 1 4
3 3328 77 8 6
3 3347 76 8 5
3 1713 78 1 2
4 1661 77 0 2
5 3342 77 8 5
6 2673 78 7 4
5 4048 78 9 5
4 1680 78 1 2
3 2440 80 1 2
3 2687 77 7 4
2 2478 77 1 2
3 2528 78 1 4
3 2682 78 7 4
3 3379 79 8 4
4 1768 80 0 2
2 2638 80 7 4
3 2136 80 1 2
2 1762 80 1 2
3 2737 80 7 4
123 1771 81 82 149
2 1855 81 1 2
2 2320 80 6 5
4 705 82 1 3
4 562 83 1 2
3 553 82 1 2
4 570 83 1 2
4 654 83 0 2
5 3122 83 7 5
4 672 83 1 3
2 2453 84 6 4
3 539 83 1 1
3 537 83 1 2
4 548 85 1 2
4 602 85 1 2
3 1081 85 1 2
3 606 85 1 1
4 527 84 1 2
3 679 85 1 2
3 528 86 1 2
3 322 86 0 0
4 602 85 1 2
4 724 87 1 4
3 545 85 1 2
3 638 86 1 2
5 539 86 1 2
4 536 86 1 2
3 1074 88 1 4
4 619 87 1 2
3 676 87 1 2
3 555 86 1 2
2 2430 87 6 4
4 550 88 1 2
4 552 86 1 2
2 544 86 1 2
3 544 87 1 2
4 548 86 1 2
3 547 87 1 2
4 552 87 1 2
4 556 87 1 2
3 560 86 1 2
3 888 86 1 2
2 3941 87 9 4
3 645 87 1 2
3 620 86 1 2
3 691 86 1 2
3 902 86 2 5
3 621 89 1 2
4 664 88 1 2
5 620 88 1 2
3 611 88 1 2
4 628 87 1 1
4 620 87 1 2
4 615 87 1 2
5 622 87 1 2
3 627 87 1 2
2 760 88 1 2
3 627 88 1 2
4 620 92 1 2
