EStree IncrementalDynamicSSSP Dijkstra Dsource ScaledEStree
190 168974 37 272 401
22 8775 40 1 11
14 5946 40 1 11
16 5777 41 1 12
23 10288 42 1 13
27 13082 44 1 13
29 13328 44 1 14
30 14176 45 1 14
34 13704 46 1 15
14 29150 46 1 23
9 21450 45 1 8
11 4225 45 1 8
50 25229 46 1 91
11 6143 47 1 7
4 5214 47 1 4
5 3924 47 1 5
4 4916 50 1 131
3 3652 49 1 132
2 10269 49 1 130
3 13163 50 1 132
2 12120 53 1 133
90 13670 54 1 132
91 13234 54 1 139
102 12489 54 1 130
93 13318 58 1 135
106 14109 60 1 138
7 6874 61 1 35
4 4828 62 1 4
4 3678 62 1 4
3 3575 66 1 6
2 3466 62 1 5
3 3214 62 1 4
110 12839 64 1 182
111 13030 66 4 177
109 11474 66 61 182
113 11897 66 68 182
114 12558 66 80 180
114 11605 68 80 189
2 12625 67 10 28
4 9867 68 9 27
2 11454 69 11 24
10 11431 70 14 21
7 8071 71 11 20
8 8273 71 10 17
6 6841 71 8 17
3 5383 71 6 6
7 7145 72 11 15
5 6260 71 9 13
4 5904 72 9 11
4 6974 71 9 11
5 7389 72 12 9
2 5039 73 8 7
3 4293 73 7 5
2 3392 73 6 1
3 4204 73 7 5
10 12241 73 17 23
4 4879 72 8 7
2 3980 72 7 5
4 4407 73 7 34
3 3828 72 7 4
47 24221 74 11 81
46 29698 77 12 75
46 28726 75 13 73
44 24891 77 11 73
43 30175 76 15 70
42 30619 78 17 67
39 26168 82 12 65
39 29463 83 14 64
37 21699 83 12 62
37 26868 85 16 58
36 22697 85 13 58
35 28358 86 13 58
34 23046 86 11 58
33 26557 87 10 54
33 29652 95 17 55
32 31086 95 16 53
32 30393 93 15 52
32 25011 98 16 56
7 6594 101 8 11
33 27738 96 22 41
10 8459 100 13 12
7 7019 97 11 6
4 4406 101 9 5
23 18759 99 12 38
22 21227 98 9 35
21 17761 96 9 34
21 22338 117 14 42
24 21395 99 16 30
18 20209 100 15 28
2 5147 105 8 1
16 15400 101 11 26
15 14370 105 10 25
15 14155 102 9 24
15 14255 101 11 23
17 18567 103 16 22
13 16637 105 13 21
12 16701 105 11 20
12 16331 105 11 16
10 16586 105 18 16
9 11008 108 13 14
8 10828 107 15 12
7 9028 109 15 11
6 8506 108 14 10
5 7747 109 12 8
5 6958 108 12 6
3 1001 107 0 1
3 3413 108 7 1
4 952 109 1 2
3 613 110 1 2
3 865 108 1 6
3 807 110 1 2
4 6500 109 1 2
3 6828 113 9 5
3 2446 108 1 2
3 3689 111 1 2
4 2781 110 1 3
4 3546 110 0 9
4 2940 110 1 4
3 3275 110 0 19
4 3536 111 1 9
3 2311 111 1 5
3 3286 110 1 8
3 2384 111 0 5
4 2748 111 1 5
3 2432 111 1 4
3 3220 110 1 2
3 3262 111 1 2
3 2892 111 1 3
3 2396 112 1 2
3 5605 114 1 2
3 3366 111 1 2
3 3308 112 1 2
4 3081 117 0 1
3 3408 114 1 10
4 3317 114 1 8
3 2029 113 0 5
11 15378 116 17 10
4 2508 116 1 8
15 2710 115 1 5
61 2276 116 18 93
88 4813 107 197 106
3 2768 110 8 5
4 2001 108 8 8
9 9910 110 13 6
5 2869 109 9 12
4 6011 109 9 6
2 4654 110 8 4
3 2767 108 8 8
4 3949 109 8 5
8 10338 112 9 5
5 1864 112 8 10
3 3827 113 9 6
3 1840 117 8 5
6 1546 113 8 5
3 6776 115 8 4
4 1428 114 8 8
3 1919 118 8 5
4 1803 115 8 8
4 1793 113 8 6
3 4839 114 8 4
3 1873 114 8 8
3 1789 115 9 4
3 1723 115 8 5
3 1744 115 8 4
13 7525 118 10 16
3 5776 115 9 4
3 1857 115 8 5
3 3274 119 9 4
7 7862 118 11 9
