EStree IncrementalDynamicSSSP Dijkstra Dsource ScaledEStree
11 30773 169 1 16
4 3168 160 1 2
3 19614 172 1 6
4 2758 160 1 2
3 3026 160 1 2
3 2502 159 1 2
8 31369 168 1 16
3 2448 160 1 3
2 2458 161 1 2
3 2402 160 1 2
3 2257 158 1 2
3 2057 158 1 2
4 2700 159 1 2
4 19721 164 1 7
5 2130 164 1 2
3 2038 159 1 2
4 2356 159 1 3
4 1887 159 1 1
4 2300 159 1 2
3 2599 170 1 2
4 20293 165 1 6
7 30180 167 1 14
5 19162 164 1 7
6 2360 174 1 4
4 2713 164 1 3
4 2456 165 1 2
4 2525 162 1 2
3 2070 161 1 2
11 19382 162 1 14
6 1650 160 0 1
4 1864 161 1 2
3 2155 159 1 2
6 2348 161 1 2
3 2561 159 1 2
11 19270 166 1 15
11 1864 161 1 2
3 19471 169 2 7
7 2311 159 1 3
4 2066 161 1 2
6 2440 160 1 2
6 1768 161 1 2
4 1814 161 1 2
4 1839 166 1 2
14 19410 171 1 16
7 1861 166 1 2
6 1462 163 0 1
4 1409 163 0 1
5 1710 165 1 1
4 2490 162 1 3
4 2738 161 1 3
6 19952 174 1 10
9 2080 158 1 2
4 1773 159 1 1
5 1999 159 1 2
3 2814 160 1 3
5 18903 164 1 8
5 2308 161 1 7
6 1831 157 1 2
6 1788 161 1 2
5 2866 161 1 3
4 1788 161 1 2
4 1873 167 1 2
3 2750 165 1 3
7 27911 182 1 19
13 3502 164 1 3
7 2388 163 1 2
5 2121 161 1 2
4 1895 161 1 2
4 2042 160 1 2
5 2005 158 1 2
5 2515 161 1 3
8 1888 158 1 2
5 1806 160 1 2
6 1380 160 0 1
4 1757 162 1 2
8 19979 163 1 13
7 1482 163 0 1
4 1364 160 0 1
9 19180 163 1 7
5 25049 165 1 11
14 46264 187 1 35
4 20745 170 1 6
9 27988 171 1 15
7 22074 169 1 9
3 2060 163 1 2
8 27834 181 1 15
5 2423 163 1 3
4 19531 169 1 6
5 2173 162 1 2
3 2302 161 1 3
3 2070 165 1 3
4 19094 168 1 6
4 1824 164 1 2
4 19159 171 1 6
5 1966 165 1 2
4 2033 165 1 2
12 21766 225 1 15
30 58516 222 2 69
8 2873 174 1 3
15 37971 224 2 26
84 176411 211 1 487
11 23710 177 1 5
7 3137 167 1 2
19 25438 174 1 16
6 4344 170 1 2
5 6164 170 1 3
20 22738 175 1 26
40 116263 205 1 104
12 43179 192 1 42
13 24728 175 1 14
15 32169 178 1 33
8 16059 177 1 9
51 129399 232 2 145
6 15893 194 1 7
67 147216 222 1 203
12 33047 183 1 22
5 14366 176 1 6
3 1933 176 1 2
4 13642 178 1 6
13 28248 184 1 25
15 33681 187 1 20
88 176900 226 1 620
5 9962 184 1 3
5 19710 184 1 11
40 106114 222 2 107
6 20663 187 1 9
4 17377 187 1 6
5 18021 186 1 7
6 25350 197 1 11
7 6920 181 1 3
2 4851 182 1 5
6 20000 185 1 9
4 14530 186 1 7
6 21980 187 1 11
3 4374 182 1 2
3 2282 183 1 2
2 21510 188 1 21
5 2776 183 1 2
24 27847 198 1 22
6 19299 186 1 12
12 25587 191 1 20
4 14630 186 1 6
16 29414 200 1 25
5 15171 185 1 7
7 5647 182 1 3
3 5156 186 1 3
3 4781 182 1 3
4 20628 187 1 9
25 39650 196 1 46
4 3041 185 1 2
3 1792 185 1 2
4 2375 182 1 2
2 1866 182 1 2
3 3478 187 1 2
3 6768 181 1 3
3 3295 186 1 2
21 27134 203 1 33
4 1974 188 1 2
3 1813 182 1 2
4 2112 181 1 3
3 1972 183 1 2
18 29759 193 1 28
3 2599 182 1 2
3 4026 181 1 2
4 1731 181 1 2
3 5380 183 1 2
4 4015 185 1 2
4 15314 187 1 8
158 246417 240 1 2651
8 39174 204 1 9
4 39022 196 1 9
18 33273 205 1 18
5 19431 207 1 7
5 36652 213 1 6
6 20740 200 1 8
13 44491 221 1 25
5 5401 196 2 3
7 2348 189 1 3
4 2348 187 1 2
3 5493 190 0 1
5 2185 189 1 2
4 2116 190 1 4
4 2091 188 1 3
4 1948 187 1 2
4 2714 191 1 2
3 3426 190 1 7
155 245682 244 2 539
11 2061 197 1 1
6 2031 195 1 2
6 2565 187 1 2
4 2560 190 1 4
5 31381 196 2 7
3 10174 189 1 2
3 3557 189 1 2
3 3995 190 1 3
193 302990 278 2 3720
24 50584 244 1 23
8 33374 231 1 16
9 30597 226 1 11
174 314171 248 2 2182
13 38518 235 1 20
6 29207 221 2 9
6 20159 217 1 7
6 12430 204 1 3
5 10995 201 1 2
5 3764 200 1 2
4 10659 200 1 2
5 6155 199 1 4
