EStree IncrementalDynamicSSSP Dijkstra Dsource ScaledEStree
4 631 100 1 1
4 630 99 1 1
4 650 100 1 1
4 656 100 0 1
5 650 100 1 1
5 813 100 1 1
6 637 99 1 1
6 668 100 1 1
6 658 119 1 1
6 695 104 0 1
8 629 101 1 1
7 633 100 1 1
7 657 100 1 1
7 644 101 1 1
7 642 101 1 1
8 652 100 1 1
8 641 100 1 1
8 890 101 1 2
9 653 102 1 1
9 644 101 1 1
9 634 100 1 1
10 629 101 0 1
10 645 102 1 1
10 659 101 1 1
10 634 101 1 1
10 639 101 0 1
13 631 101 0 1
11 659 99 1 1
11 650 100 1 1
11 638 100 0 1
12 642 101 1 1
12 644 101 0 1
12 664 100 1 1
12 675 101 1 1
12 644 100 1 1
13 649 100 1 1
13 624 101 1 1
13 648 100 0 1
13 654 101 1 1
13 691 101 1 1
14 653 102 1 1
14 1093 101 1 3
19 651 100 1 1
15 659 100 1 1
16 638 100 1 1
16 649 101 1 1
16 634 102 0 1
17 651 102 0 1
17 643 102 0 1
17 640 104 0 1
16 702 100 1 1
17 644 102 1 1
17 645 102 1 1
21 644 105 1 1
18 638 105 1 1
18 678 103 1 1
18 654 104 1 1
20 650 106 1 1
22 664 108 1 1
19 653 105 1 1
19 676 102 1 1
19 699 104 1 1
20 660 109 1 1
20 665 102 0 1
20 668 101 0 1
20 645 101 1 1
21 660 114 1 1
20 656 101 1 1
20 643 102 1 1
24 637 101 1 1
21 645 102 1 1
21 651 102 0 1
22 651 101 1 1
21 647 102 0 1
25 645 100 0 1
22 663 102 1 1
22 643 101 0 1
22 656 103 1 1
23 654 102 1 1
23 653 105 1 1
26 659 106 1 1
23 637 103 1 1
24 644 110 1 1
23 685 106 1 1
24 650 102 1 1
27 648 101 1 1
25 673 102 1 1
25 646 102 0 1
25 681 105 1 1
26 657 102 1 1
28 648 102 0 1
26 1590 119 2 5
34 650 107 0 1
28 635 102 1 1
28 652 109 1 1
29 636 102 0 1
31 737 103 0 1
37 651 106 1 1
29 660 102 0 1
36 672 103 1 1
59 660 102 0 1
30 638 101 0 1
29 654 101 1 1
30 633 106 0 1
30 643 103 1 1
30 625 106 0 1
30 647 103 1 1
31 651 102 0 1
31 636 105 0 1
31 644 102 0 1
32 648 103 0 1
32 643 106 0 1
32 646 115 0 1
32 719 102 1 1
51 656 104 0 1
32 630 107 0 1
34 642 106 0 1
33 645 107 1 1
33 662 103 1 1
33 653 105 1 1
37 637 103 1 1
34 641 102 0 1
35 664 103 1 1
35 650 107 1 1
35 651 108 0 1
36 641 103 1 1
34 643 104 1 1
35 632 103 0 1
36 647 103 1 1
35 640 103 1 1
35 640 103 0 1
36 648 103 1 1
36 638 103 0 1
38 685 106 1 1
37 674 103 0 1
36 650 106 0 1
36 649 103 1 1
36 643 103 0 1
38 652 103 1 1
38 637 103 1 1
38 640 103 0 1
38 627 104 0 1
4 740 131 1 1
4 791 107 1 2
4 739 110 1 1
4 772 111 1 1
4 711 103 1 1
3 732 107 1 1
4 747 104 1 1
3 872 103 1 2
3 750 103 1 1
4 720 103 1 1
4 752 115 1 1
3 751 104 1 2
3 731 104 1 1
3 745 104 1 1
3 736 110 1 1
3 730 104 1 1
3 745 104 1 1
3 747 103 1 1
4 749 104 1 1
3 1019 108 1 2
3 757 105 1 1
4 741 104 1 1
4 731 108 1 1
3 752 104 1 1
3 728 102 1 1
3 755 106 1 1
3 746 105 1 1
3 750 108 1 1
3 743 105 1 1
4 734 105 1 1
4 766 105 1 1
3 735 104 2 1
3 757 104 1 1
3 748 106 1 1
3 744 104 1 1
3 772 104 1 1
4 755 105 1 1
3 765 105 1 1
3 739 104 1 1
4 789 105 1 1
3 752 105 1 1
3 774 105 1 1
3 768 104 1 1
3 1221 104 2 3
4 780 106 1 1
5 737 104 1 1
4 746 108 1 1
3 740 108 1 1
3 744 104 1 1
3 761 104 1 1
3 738 104 1 1
3 766 107 1 1
3 736 106 1 1
