RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
44825 3772 2110 30719 1296
48773 2886 2859 31637 1387
44304 3817 2157 32189 1519
52607 3076 2573 32818 1576
50035 2194 2362 32299 1457
47343 3973 2371 32204 1341
47388 3586 2450 33661 1348
44448 2892 2489 32700 1291
51677 4255 2382 34545 1345
52295 2131 2503 32238 1469
50996 2387 2532 34619 1539
52172 3915 3161 33449 1527
49584 2663 2425 31968 1278
53059 2307 2713 34571 1334
52852 2021 2059 31141 1527
50573 4059 2439 33278 1210
52187 2523 2512 34407 1729
51043 2476 2360 31707 1440
51612 5030 2594 32055 1513
53043 3682 2224 32156 1427
49021 4634 3704 34775 1432
48016 3976 2521 32506 1523
49262 2263 2284 29220 1325
50670 2488 2363 33194 1378
46612 2390 2536 30153 1510
48596 2320 2615 31844 1567
51564 4645 2375 32774 1560
51056 3660 2155 32804 1529
47984 3729 2115 28489 1382
51796 5526 2053 31819 1580
51718 5638 2556 34313 1422
53506 5744 2548 31419 1571
48749 3893 2098 35591 1463
56463 4052 2196 31702 1219
48354 4300 3103 30889 1415
49242 2385 2587 35281 1558
46073 4044 2211 31773 1514
51555 3894 2402 34383 1268
52165 3545 2311 31349 1512
49902 4244 2423 32759 2180
52761 4311 2498 33182 1510
50549 2444 2656 33053 1342
51868 4325 2635 34018 1473
52233 3930 2355 31171 1486
51868 5309 2409 33848 1491
47267 2444 2419 30621 1518
51154 4121 2395 29882 1232
55103 4362 2331 33316 1426
49419 3480 2566 28531 1475
49928 4265 2569 30137 1413
52236 5170 2573 31507 1496
50187 4429 2454 31089 1400
51161 5855 2431 34639 1326
50204 3937 2276 32266 1395
47357 4156 2408 38475 1567
47513 2457 2106 30160 1390
52346 2320 2373 31616 1238
51375 2375 2443 31089 1387
50145 3862 2271 33015 1551
47221 4284 2509 31982 1401
51101 5846 2519 30477 1490
53921 2523 2555 34977 1370
55502 2127 2223 34964 1529
47543 2385 2293 35363 1317
47240 4538 2596 33135 1549
49420 2441 2325 33824 1412
51431 2235 2579 35085 1336
48820 1985 2315 35403 1360
47448 3430 2292 30502 1475
48767 2406 2254 31761 1333
50382 4420 2539 31215 1558
49694 3619 2624 34187 1483
50896 4332 2416 37615 1378
52068 2447 2587 33579 1296
51780 2464 2577 32479 1579
50285 3810 2207 35676 1373
51355 3702 2376 30307 1346
47301 2433 2545 31783 1377
50327 2479 2380 33660 1442
54185 2238 2573 33686 1415
52160 4055 2584 32600 1287
50052 5020 2651 35661 1307
46149 3228 2133 29612 1353
51817 5518 3111 34903 1294
49761 2604 2660 29839 1461
50259 4046 2478 34356 1300
51118 2278 2345 30665 1452
49174 2474 2078 31783 1546
50954 4522 2539 33089 1311
47708 2453 2448 31766 1518
50151 4398 2606 36071 1375
52504 4220 2643 32432 1476
52018 2393 2960 31493 1520
50152 2330 2353 30882 1540
49541 3074 2538 32819 1403
48723 5296 2549 29847 1560
49484 3488 2402 31804 1322
50164 4443 2277 35798 1373
46969 2344 2712 38332 1521
44560 2174 2584 31923 1289
57848 2602 2682 35150 1314
47488 4363 2173 33921 1354
54545 2298 2457 30994 1463
52112 2595 2406 33426 1427
49233 2405 2581 34271 1711
53378 3909 2580 27649 1638
48402 4369 2520 33742 1406
50495 2595 2291 33502 1554
49222 5724 2243 31077 1581
55313 4474 2437 31209 1323
51405 3701 2613 31487 1515
44491 4321 2520 34544 1568
51074 2843 2556 32119 1396
48929 3503 3256 34198 1531
52321 2537 2298 34033 1535
49137 3003 2245 33674 1467
43952 4521 2406 36515 1562
56055 2019 2372 35825 1621
43547 4155 2560 33518 1462
47981 4175 2360 34820 1484
42371 2910 2317 30137 1340
49643 3007 2325 31694 1574
52327 2382 2399 28745 1478
48328 4352 2466 32379 1552
52334 4376 2603 34546 1543
46293 4077 2539 31520 1337
49283 2466 2317 34279 1395
52336 3908 2600 28538 1559
50292 2039 2416 32333 1467
47736 4190 2649 34260 1550
44627 2664 2584 31672 1480
48450 3545 2688 35976 1379
47238 2564 2612 35436 1477
51247 4242 2143 33274 1316
52395 4496 2494 32019 1511
49098 2432 2245 31239 1441
40946 2117 2251 33740 1299
51864 3667 2753 30365 1659
57182 4491 2617 36288 1302
46072 2429 2246 32726 1436
50577 4213 2308 35221 1300
53011 2548 2623 34408 1513
49739 3988 3637 29052 1499
45925 4130 2659 35964 1265
46278 3878 2298 31594 1433
50679 2269 2315 31200 1514
51210 3591 2590 32330 1579
44765 4660 2178 28803 1539
49453 2475 2570 35515 1570
50757 4490 2406 32279 1404
48604 4236 2373 31662 1368
51829 4392 3813 35481 1546
45973 2533 2613 32223 1567
52490 2758 2706 36780 1537
50110 3087 2637 32139 1344
49308 4404 2239 34772 1469
51387 3419 2393 34474 1513
48676 5498 2273 34971 1560
50165 4328 3602 34533 1523
47709 6290 2297 35374 1665
51644 2299 2306 34319 1401
53662 4611 2569 34950 1488
49548 5981 2431 31457 1405
52184 3041 2616 38693 1427
48131 4050 2778 33751 1337
52039 4705 2683 33878 1579
51250 3699 2617 33317 1565
51322 2554 2576 36809 1557
50635 6131 2362 33061 1597
45639 4214 3283 34192 1486
46868 4523 2544 34472 1616
49029 4392 2422 30296 1411
49057 3358 2672 33073 1298
45492 2431 2341 34123 1388
50424 3193 2582 33184 1278
52597 3498 2439 36502 1426
45078 2449 2436 34894 1505
50410 3834 2435 37317 1542
54864 4456 2518 33518 1498
47166 4599 2420 31828 1509
53178 6356 2658 36187 1614
49410 4692 2197 33949 1577
48678 3391 2369 32915 1586
52448 2556 2296 32491 1457
