EStree DecrementalDynamicSSSP Dijkstra ScaledEStree
585 119516 171 1489
3 9443 184 6
44 14584015 163 101
3 10412 173 3
1 8854 165 2
1 8762 165 3
0 8780 162 2
0 8791 166 2
1 8766 162 2
17 8823 161 2
1 8806 163 3
1 8720 164 6
0 8718 162 3
0 8758 164 23
0 8817 163 2
0 8754 166 2
0 8791 163 2
0 8780 162 14
0 8799 163 2
4 9225 162 2
0 8709 163 2
1 8759 162 2
0 8743 162 2
1 8761 167 3
0 8737 162 5
0 8742 163 2
0 8756 163 2
0 8720 163 2
0 8761 162 5
0 8848 163 10
1 8752 162 2
0 8763 162 2
0 8706 166 16
2 9243 163 8
0 8780 161 9
17 8814 161 15
0 9389 162 4
1 8860 165 6
0 8711 161 82
0 8716 161 2
0 8757 160 2
0 8741 160 16
0 8765 161 2
0 8734 161 2
0 8821 162 3
0 8711 161 5
1 8771 161 3
0 8738 161 2
0 8725 162 8
0 8787 161 43
0 8755 161 5
0 8800 161 3
49 8724 170 104
0 8868 168 2
0 8764 173 28
0 8694 169 22
0 8679 182 3
0 8723 168 24
0 8780 168 2
0 8744 172 102
0 8679 168 25
0 9123 166 13
1 8847 172 2
0 8849 171 3
1 8772 189 17
0 9049 169 13
0 8749 169 22
0 8899 167 3
0 8904 170 31
1 8884 177 12
1 8794 168 2
1 8847 174 17
0 8919 168 11
0 8859 169 10
0 8974 167 3
1 8847 170 18
0 8954 167 3
1 8807 169 76
1 8964 168 17
37 8790 169 17
0 8982 167 25
0 8936 168 30
1 9343 173 15
0 8966 172 11
1 8760 189 16
0 8820 169 9
0 8889 167 19
0 8890 163 9
0 8829 165 155
0 8772 165 26
0 8826 164 16
0 8823 167 11
1 8797 163 10
0 8805 164 2
0 8820 162 25
0 8824 163 11
0 8750 182 11
0 8773 163 17
0 8700 165 16
0 8837 162 24
0 8720 162 24
0 8710 165 10
0 8708 163 10
0 8790 163 2
0 8866 163 17
0 8877 163 3
0 8863 162 2
6 8800 161 20
0 8693 163 24
0 8862 162 10
0 8856 163 16
0 8941 162 24
0 8767 162 2
2 8853 162 17
0 8787 161 15
0 8805 161 16
0 8934 162 17
1 9002 161 2
0 8961 162 15
0 8863 161 292
0 8750 161 240
12 8747 161 206
8 8802 163 3
65 9595 177 7
33 8826 181 4
0 8821 161 45
0 8822 177 169
9 8859 165 8
6 9356 174 3
416 9390 176 9
12 9624 168 20
6 9460 179 23
4 9176 167 74
3 9071 166 36
3 8755 162 24
3 8739 158 15
5 8731 158 15
2 8706 158 11
3 8675 157 16
4 8712 156 11
0 8691 157 2
3 8719 157 9
2 8729 156 9
5 8734 163 26
4 8724 156 2
3 8767 157 23
3 8758 156 8
2 8689 156 11
5 8749 156 30
2 8706 155 20
5 8667 155 2
2 8737 156 2
6 8682 154 2
2 8697 155 22
2 8707 154 2
4 8736 154 2
5 8728 153 8
5 8683 154 13
4 8693 152 13
3 8723 151 14
2 8699 151 15
3 8670 152 12
0 8676 151 11
0 8683 151 12
188 8639 152 2
0 8672 153 2
4 8705 152 10
100 8683 159 14
0 8683 154 2
0 8763 152 8
0 8761 152 13
0 8668 151 8
0 8772 153 9
0 8732 157 2
0 8695 152 2
0 8943 153 2
0 8867 151 8
1 8901 153 11
0 8836 153 2
0 8740 152 27
0 8870 151 25
0 8800 152 25
0 8929 151 24
0 8848 150 25
0 8793 154 24
0 8659 151 15
0 8746 151 2
0 8726 151 2
0 8681 151 11
0 8696 150 2
0 8886 149 2
0 8764 150 20
1 8851 148 19
0 8857 148 2
0 8982 151 28
0 8943 147 6
0 8701 151 2
0 8898 148 2
0 8787 148 12
0 8798 153 25
0 8807 149 3
0 8757 147 25
0 8888 148 23
0 8793 147 14
0 8714 146 18
0 8692 146 2
0 8883 145 10
0 9007 151 3
0 9210 150 38
1 9104 154 12
0 9190 153 26
0 9342 156 16
0 9356 155 3
1 9333 154 12
0 9438 154 17
1 9529 159 13
0 10513 155 5
1 10793 159 6
1 9513 159 3
0 9497 158 4
0 9535 155 12
1 9453 159 11
5 9877 157 11
