EStree DecrementalDynamicSSSP Dijkstra ScaledEStree
1 88232 287 4
1 86715 267 5
5 84390 189 4
1 81254 182 3
2 80779 182 3
1 81545 182 3
1 81037 183 3
2 81010 179 3
1 80546 179 2
0 80740 180 2
1 80926 180 2
1 80551 179 2
1 80523 180 4
11 80733 182 2
1 81139 177 2
1 81504 180 3
6 80945 182 2
0 81118 180 3
0 80914 181 3
1 80878 178 2
0 80813 181 7
10 81196 184 2
20 81061 178 2
16 80497 183 2
0 80888 178 3
5 80857 178 2
0 80868 178 3
0 80993 179 2
0 80512 181 1
0 80622 179 2
7 80489 180 2
0 80811 179 2
0 80579 182 2
0 80920 177 3
0 82316 210 5
36 88523 199 13
25 88489 198 5
13 87643 188 6
14 84760 245 8
3 82618 215 4
11 83646 187 4
2 85127 186 4
9 83363 199 5
11 83774 192 4
1 85578 186 4
1 82263 185 4
1 83504 188 4
13 83120 188 4
1 82338 183 14
9 82526 189 3
53 82343 186 5
46 82476 190 3
18 82809 189 7
8 81536 183 8
274 80665 181 2
1 81027 179 2
6 83428 201 4
8 87819 186 4
3 85034 185 4
2 86036 192 4
3 84106 193 5
2 81565 181 4
2 81786 181 3
2 81676 179 3
1 81272 187 3
1 81404 183 3
1 80852 178 2
1 81225 182 3
7 81192 177 3
1 81076 200 3
1 80927 175 3
1 88519 193 13
2 88251 214 3
1 87521 203 3
2 86718 193 3
23 88388 214 5
2 88130 196 3
2 84925 186 3
2 83414 188 2
1 84981 181 3
12 81633 185 4
1 81124 178 3
1 80830 177 2
0 80839 176 3
0 80503 177 2
1 80991 175 3
0 80604 175 3
1 80682 177 3
0 80662 175 3
0 80590 177 2
0 80999 176 2
0 80977 175 2
1 80786 174 2
1 81330 178 2
10 81184 178 2
1 83152 189 3
1 86883 183 6
1 81279 183 3
0 80608 177 2
1 80650 179 3
1 80741 175 2
1 80693 176 2
0 80691 182 2
1 80784 176 3
0 80825 175 3
1 80954 177 3
1 80875 180 3
6 84298 189 3
16 85235 185 4
1 83050 182 5
1 85151 186 4
8 84850 182 3
1 82578 179 3
1 81795 189 3
4 81305 176 5
1 80878 179 2
0 80701 176 2
11 82082 182 3
8 81010 177 5
1 81228 182 3
10 86872 180 4
1 81321 178 3
1 81403 177 3
