EStree DecrementalDynamicSSSP Dijkstra ScaledEStree
1 69174 222 5
1 69173 239 6
3 70602 229 4
1 70591 230 7
25 70997 229 131
1 73667 231 8
10 69741 233 83
2 68985 220 4
13 69502 226 102
9 68362 223 72
9 72698 240 84
3 71167 215 6
18 73111 228 115
0 69613 225 7
7 68300 218 39
30 65932 211 254
0 68401 222 8
1 67737 269 13
43 67716 217 359
1 66035 217 7
9 67505 216 24
1 70376 212 3
0 66153 213 2
1 65790 220 7
1 67911 228 5
2 72449 219 8
5 66595 218 3
1 66883 225 7
2 66615 211 3
1 65994 210 3
7 68713 221 27
9 68864 217 39
1 68165 227 3
1 67037 213 5
1 66101 210 3
1 66256 227 4
1 66382 209 4
7 65952 210 24
1 65937 211 4
1 73766 246 6
17 71585 223 59
11 67920 212 29
19 67191 213 76
11 71268 221 24
3 66238 208 3
1 71882 225 6
9 68429 212 48
13 67279 215 42
1 66992 217 15
10 66705 214 16
14 66026 212 28
5 66015 212 10
1 65971 219 3
7 67140 223 14
6 74833 225 37
1 67667 211 4
8 71001 330 24
2 75251 239 7
10 69687 221 27
20 72565 222 68
1 69443 215 5
1 109751 277 12
19 70900 223 38
10 66117 212 19
1 66382 205 4
1 69630 210 4
1 65848 209 2
6 68291 235 15
16 85884 226 23
1 67771 212 4
7 66344 211 10
64 66169 214 241
6 65759 221 14
1 67413 218 4
1 70610 245 6
13 98336 220 62
2 68249 221 5
2 67846 220 5
1 68554 229 7
2 67059 215 4
1 65995 214 3
261 67014 221 1329
8 73008 210 41
2 76556 217 4
3 69435 220 4
7 70494 241 20
1 67918 211 4
2 67101 231 4
1 68086 216 5
9 69101 219 25
8 66928 211 21
1 66186 209 4
1 65990 210 4
1 66176 207 3
1 65896 208 3
1 66157 207 3
1 68881 235 6
2 71031 229 6
2 69360 225 6
262 70697 226 1338
9 69094 220 42
1 68224 209 6
2 67179 223 4
7 68581 219 31
13 68160 211 50
2 66650 207 4
1 66112 209 4
15 65842 208 52
270 70279 205 1454
1 65557 210 3
1 67184 217 5
1 74179 230 5
4 68358 210 5
1 66348 213 5
1 73070 210 5
3 66994 210 4
8 66141 214 30
11 71929 226 71
2 67850 206 4
0 66876 207 5
1 66159 206 6
1 65871 205 5
13 65840 204 47
1 66465 213 4
1 66000 211 3
15 67851 214 76
15 71495 226 72
0 74314 223 6
13 67290 208 38
18 66598 210 98
21 67107 208 88
15 79345 242 68
29 68174 209 59
11 67930 208 24
7 66457 207 22
1 66937 207 8
2 66291 228 6
1 66302 207 3
1 66673 207 3
1 66864 214 5
1 71365 220 8
13 68387 215 29
1 69095 215 5
18 69017 217 90
10 68733 206 39
9 66471 205 50
2937 70870 203 14274
2 68180 210 4
11 66754 203 44
13 66192 202 37
0 66291 200 3
1 66242 200 2
944 68915 201 4404
774 67125 205 4041
2 66034 198 3
10 67537 207 39
7 66247 200 41
9 66096 199 41
1 66131 198 4
1 66143 203 3
1 65899 200 3
1532 66266 195 7041
17 68189 212 56
0 67713 202 7
36 66182 198 143
85 66498 195 448
6 65977 195 20
92 66242 196 407
199 66504 205 1047
2 80545 220 4
2 67698 200 4
1 66639 194 4
1 66937 191 4
0 66407 196 4
7 65862 194 26
0 68134 196 5
1 66982 204 4
8 69168 203 32
1 66125 196 4
2 66137 200 2
1 67532 207 5
1 77306 216 6
2 69948 210 7
7 76164 219 31
2 69908 204 6
2 70031 211 5
2 81600 229 7
11 84294 211 41
6 67182 193 3
0 66050 196 3
7 66145 194 17
1 66447 205 4
2 68873 202 6
11 67544 205 43
1 67345 198 5
1 66085 196 5
1 66794 199 4
2 68495 221 5
1 79215 211 8
3 69982 203 6
1 67618 205 7
16 69013 195 86
1 66917 197 4
3 67249 210 5
2 71614 199 5
1 67313 198 4
9 66549 193 46
1 66066 196 3
1 67032 198 5
3 67984 198 8
1 66298 192 3
2 66293 195 4
1 70686 200 6
1 68481 196 5
1 67210 194 3
9 66008 196 23
1 65899 194 3
0 65930 197 2
1 66793 203 4
1 66206 192 3
1 66105 197 4
1 67080 213 4
1 72091 212 7
2 78948 208 5
1 85815 290 5
2 75371 201 5
2 83105 446 11
2 89138 211 10
3 77500 209 10
13 75035 207 38
2 71235 207 5
2 70153 214 6
7 74100 217 28
0 74524 258 11
1 69492 209 6
1 70906 214 8
0 69701 202 5
12 68919 206 28
38 69765 205 154
23 67756 203 83
1 70659 215 7
8 68628 207 60
0 67091 200 3
1 66972 190 7
2 66181 193 3
0 66032 195 3
14 69556 213 53
3 67610 193 3
0 67116 204 4
0 68905 193 5
0 66308 195 5
32 65884 190 187
17 65815 191 121
10 65893 195 72
10 66892 204 100
2 69856 207 4
10 67505 201 50
1 66334 191 4
8 66311 190 75
7 66351 187 35
0 66029 189 3
0 69530 213 7
2 68004 206 8
13 67161 191 71
1 65972 192 3
7 65932 191 65
49 65984 192 400
45 66336 194 374
16 66137 190 160
5 70433 208 27
298 72184 221 2209
2 74741 210 5
11 69336 202 19
6 71031 201 5
6 67683 194 4
1 67452 205 7
2 67828 198 9
2 67683 196 4
2 66446 193 3
1 65936 189 3
1 65741 190 3
1 66114 185 3
1 65816 189 3
1 66430 189 3
10 73869 218 98
3 70220 200 5
2 66403 192 4
1 65956 192 3
1 66522 195 3
1 66204 187 3
1 69508 207 5
16 69360 197 61
2 68146 216 4
1 67789 200 8
3 66400 192 3
1 66142 189 4
13 65915 190 41
1 66082 192 3
1 66448 196 4
1 71609 205 7
2 68151 195 4
2 67676 195 7
1 66389 188 5
1 65959 190 3
1 66444 186 3
1 67873 204 4
2 66903 187 3
1 68497 191 4
1 66603 186 3
4 66242 186 3
9 66075 195 61
1 65726 189 3
1 66042 187 3
1 66820 200 9
1 70987 209 6
1 68452 201 4
2 68935 200 3
1 68823 199 3
1 68141 194 4
1 69945 406 5
2 70435 194 4
2 68017 199 6
1 67240 191 4
6 66502 193 59
12 66689 191 54
1 65952 189 3
1 65975 189 3
6 65820 189 46
1 69761 206 5
1 72362 199 6
1 67457 192 4
2 66394 191 3
1 66037 190 3
14 66013 190 85
7 66722 201 47
1 69362 205 6
18 68311 197 61
1 66585 194 5
1 66070 193 4
143 66116 188 563
6 65844 193 41
1 65916 194 4
8 66183 197 86
8 73465 202 80
13 71028 213 117
49 66939 188 347
7 66980 193 23
1 66220 192 3
7 67666 218 32
15 69586 197 26
7 67673 191 12
9 68362 195 10
2 67123 194 6
1 66159 194 4
1 66099 189 4
1 65973 188 3
