EStree DecrementalDynamicSSSP Dijkstra ScaledEStree
352 48228 94 864
4 3704 95 3
1 3611 95 2
1 3577 94 2
1 3570 94 2
0 3731 94 5
1 3585 94 3
1 3621 93 2
17 3043569 110 10
2 3962 106 11
0 3652 95 3
0 3673 93 2
0 3607 94 4
0 3646 92 2
0 3600 92 4
0 3656 93 2
0 3609 93 76
0 3582 92 4
0 3616 92 3
0 3689 94 37
0 3592 94 3
0 3680 94 3
8 3584 94 10
2 3822 95 11
12 3621 94 4
1 3643 94 3
0 3568 93 5
8 3695 95 3
0 3639 94 2
0 3668 109 20
0 3684 92 2
0 3551 96 29
9 3697 93 13
1 3590 93 2
5 3672 95 4
1 3643 92 6
0 3698 92 12
0 3582 92 2
0 3610 119 2
0 3560 95 2
0 3665 90 2
0 3741 90 12
0 3583 90 3
0 3663 89 12
0 3831 89 2
8 3790 90 3
44 17559 87 80
0 3656 87 6
0 3657 86 5
0 3690 86 2
0 3712 85 5
0 3674 85 5
0 3665 85 5
0 3715 86 4
0 3706 88 4
0 3698 85 5
0 3658 86 5
0 3703 85 4
0 3706 85 2
0 3626 86 4
0 3658 89 2
0 3667 86 5
0 3725 86 4
0 3685 85 4
0 3672 86 5
0 3642 85 86
0 3619 85 70
0 3601 85 5
0 3668 86 69
2 3616 88 5
4 3577 84 11
0 3613 85 2
2 3572 84 11
0 3728 85 15
0 3587 85 2
4 3578 87 3
0 3696 84 2
2 3662 82 2
76 3602 83 74
0 3599 83 2
0 3618 83 2
0 3779 83 2
0 3624 84 18
0 3626 84 2
0 3585 85 13
0 3608 83 2
0 3614 85 9
2 3623 84 33
0 3582 84 2
0 3598 84 2
0 3659 84 2
0 3718 84 2
0 3599 84 9
0 3621 83 10
0 3602 82 2
0 3719 82 22
0 3591 81 2
0 3603 80 3
0 3604 81 10
0 3591 81 5
0 3596 80 13
0 3594 81 18
0 3595 80 2
0 3678 80 3
0 3722 83 3
0 3793 82 12
0 3878 91 11
0 3968 81 3
0 3865 86 25
0 3801 84 3
0 3818 93 6
0 3784 85 11
0 3770 82 6
4 3844 84 28
0 3804 85 3
0 3759 83 2
1 3761 80 2
0 3800 85 14
5 3805 86 3
0 3736 83 2
1 3785 80 2
0 3767 84 2
0 3769 80 27
0 3762 80 14
1 3714 80 2
0 3735 80 12
3 3841 80 2
4 3824 82 2
6 3754 82 2
4 3838 79 2
4 3902 78 23
0 3822 78 3
5 3800 82 2
213 3807 83 91
2 3913 91 12
0 3812 80 12
68 3835 79 6
0 3839 83 11
0 3812 80 21
0 3856 76 2
3 3823 79 30
0 3791 78 29
0 3905 78 13
0 3843 80 12
0 3722 79 2
0 3716 76 63
0 3699 75 43
0 3765 75 3
0 3703 73 3
0 3736 73 2
0 3708 73 12
0 3776 74 2
0 3729 73 2
0 3658 77 7
0 3643 72 14
16 3705 70 40
0 3611 72 20
0 3607 71 9
0 3591 72 11
0 3596 71 2
0 3644 71 9
0 3666 71 10
1 3724 71 7
0 3711 71 6
0 3701 73 6
14 3593 71 4
0 3698 76 3
0 3743 71 183
0 3731 71 6
0 3681 71 5
0 3689 71 6
0 3672 71 25
0 3641 71 5
0 3759 70 13
0 3637 70 3
0 3731 70 4
0 3676 70 13
0 3783 70 5
0 3661 75 107
