EStree DecrementalDynamicSSSP Dijkstra ScaledEStree
531 101349 164 1385
2 7773 163 4
0 7532 163 19
17 7599 162 3
1 7673 162 2
0 7588 162 2
0 7693 165 16
0 7591 162 3
5 7569 162 16
0 7469 162 2
0 7465 161 2
0 7615 161 15
0 7579 161 2
0 7601 160 15
0 7598 161 9
0 7480 161 3
0 7524 161 2
0 7439 162 2
0 7782 161 2
1 7585 161 2
0 7643 160 2
41 8289671 161 91
11 9082 164 9
1 7639 164 4
0 7954 163 12
0 7673 165 2
2 7680 167 5
1 7715 162 3
0 7720 159 3
0 7707 159 4
1 7710 158 3
0 7731 158 18
2 7681 159 2
0 7564 157 16
0 7897 157 2
0 7756 158 3
0 7715 158 2
0 7556 158 3
0 7564 158 2
1 8087 157 7
1 7763 156 9
0 7867 175 3
1 8016 162 5
0 8575 172 5
0 8054 160 36
0 8582 160 7
1 8004 165 4
0 8633 161 25
1 8187 165 6
1 8670 169 5
1 7967 164 5
1 8454 170 5
1 7926 164 28
1 8586 166 19
8 8056 159 9
1 8674 170 5
0 8105 161 5
1 8706 165 16
1 8072 170 5
1 8744 168 5
1 8353 185 5
1 8405 167 6
3 8374 159 5
1 8329 167 4
0 8323 157 5
1 8219 166 4
1 8359 155 5
1 7878 182 3
1 8370 156 5
1 7888 188 20
0 8136 156 6
0 7969 165 20
1 8385 156 5
1 7839 162 3
2 8094 152 6
1 7982 177 53
1 8283 158 27
77 7887 169 129
0 8337 150 14
1 8005 164 3
0 8084 151 5
1 8078 215 3
0 8162 147 6
1 8007 169 4
1 8190 153 4
1 7813 151 25
0 7810 152 18
0 7697 165 19
0 7807 146 3
0 7730 175 2
0 7800 146 3
0 7704 146 17
1 7816 146 16
0 7724 162 2
0 7834 149 2
1 7608 150 25
1 7787 149 17
0 7663 147 23
1 7779 145 2
0 7685 151 8
0 7755 146 8
0 7735 146 8
9 7667 146 2
0 7761 144 7
0 7725 144 15
0 7759 144 2
0 7610 156 2
0 7784 146 2
0 7771 145 14
0 7758 145 8
0 7626 148 2
0 7569 144 139
6 8212 150 9
5 7794 140 124
5 8323 146 12
22 7712 144 5
16 8454 158 38
11 7693 149 3
18 8242 144 5
19 7921 145 3
12 8534 142 5
6 7959 145 39
20 8624 155 4
7 7940 153 35
4 8210 149 36
10 7728 170 12
4 8165 144 40
6 7811 148 11
4 8260 162 36
4 7733 143 33
7 8236 143 26
12 7825 161 18
6 7695 142 11
3 7653 147 11
5 7667 158 18
15 7642 139 2
4 7822 139 22
3 7634 138 25
3 7735 137 2
3 7681 137 17
19 7731 137 18
4 7691 137 11
4 7687 135 14
11 7659 137 18
3 7609 135 17
3 7578 135 11
7 7600 134 17
6 7585 135 16
3 7583 136 16
2 7605 135 11
4 7714 137 25
7 7602 135 24
9 7683 136 10
5 7715 135 12
4 7661 155 17
2 7699 135 18
6 7728 135 2
3 7782 135 17
4 7701 136 11
5 7842 136 84
9 7761 136 16
3 7622 137 12
2 7595 140 3
5 7865 136 21
6 7602 153 3
1 7634 137 58
5 7663 127 57
0 7664 127 13
246 7730 140 178
0 7642 138 169
0 7715 135 24
0 7672 135 18
0 7810 134 2
0 7700 137 12
0 7680 136 20
0 7677 135 19
0 7706 158 17
0 7635 161 25
0 7659 135 25
0 7607 138 3
0 7716 134 9
0 7633 134 16
0 7615 133 2
0 7709 134 2
21 7735 136 51
0 7733 138 12
0 7661 139 13
0 7659 136 18
0 7708 132 16
0 7648 133 16
0 7728 136 12
0 7680 131 52
0 7709 133 16
0 7726 131 21
0 7624 131 17
0 7748 132 12
0 7702 136 2
0 7759 156 11
0 7613 132 36
1 7713 131 17
0 7630 132 2
1 7730 129 10
0 7700 129 9
0 7794 141 194
0 7648 132 3
0 7756 129 10
0 7773 128 2
1 7712 129 25
0 7741 127 31
0 7697 129 16
0 7732 128 16
0 7749 127 11
0 7758 129 13
0 7796 128 17
0 7776 127 3
0 7713 126 8
0 7774 126 8
2 7671 126 165
