RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic ModifiedIncremental
1200 206 276 2230 40464 141 9566
1286 187 235 1927 39678 134 9205
1248 188 313 2012 41469 140 9821
1222 219 245 1928 39878 138 9343
1188 187 241 1912 39768 135 9231
1184 186 240 1910 41112 143 9736
1237 193 256 1995 39703 143 9291
1204 188 244 1949 39776 152 9349
1293 194 265 2070 39805 143 9345
1216 187 252 1963 40188 143 9561
1239 186 271 2002 40940 165 10493
1252 201 269 1945 43880 166 10444
1453 222 332 2249 44472 152 11181
1301 223 279 2265 48814 168 12190
1247 227 443 2740 47147 171 10293
1202 188 257 2122 42384 151 10063
1269 190 257 2010 41496 149 9610
1192 208 256 2024 41287 149 9750
1248 191 268 1953 41355 156 9558
1206 182 258 1955 41722 169 10665
1619 196 291 2145 42416 149 10411
1245 188 256 1967 43276 156 11022
1218 186 254 1988 42318 151 9912
1234 188 265 1986 43445 157 10248
1216 183 276 1971 41234 165 9359
1176 197 257 1957 40665 153 9338
1176 201 268 1960 40673 148 9255
1241 180 260 1976 40768 149 9251
1194 181 260 1976 40666 152 9229
1180 186 266 1988 40689 148 9170
1217 187 261 1998 40761 150 9179
1173 180 264 1990 43042 186 10513
1248 312 321 2176 42500 161 9987
1220 191 263 1993 42243 175 9875
1328 183 266 2011 41693 161 9550
1183 189 269 2009 40666 176 9267
1194 186 268 2013 40838 163 9686
1222 180 271 1997 41448 159 9349
1234 305 274 1995 40755 157 9044
1233 183 273 2031 40672 157 9047
1228 185 273 2014 40645 158 8908
1196 188 274 2008 40769 158 8967
1241 189 276 2013 40545 160 8884
1178 177 276 2014 42134 179 9778
1221 194 291 2099 42944 172 9739
1263 186 284 2071 42345 181 9492
1223 188 294 2106 41194 166 9068
1224 181 276 2025 41322 179 9696
1192 205 300 2053 43715 204 10919
1325 204 306 2175 44615 175 10091
1240 191 279 2142 42344 191 10226
1337 199 295 2178 45224 177 10271
1264 205 300 2087 43166 176 9968
1241 200 286 2190 42829 176 9839
1216 197 289 2129 42610 176 9657
1183 190 297 2063 41416 171 9213
1259 308 282 2059 42706 179 11202
1181 184 287 2132 42553 178 9452
1188 181 310 2047 40946 173 9090
1194 189 286 2049 40775 176 9170
1203 188 296 2116 44176 190 10606
1221 203 293 2176 45647 203 10685
1286 205 314 2199 46583 213 10548
1277 207 318 2258 43474 192 9893
1184 191 313 2057 47391 188 9909
1275 186 294 2064 41859 185 9272
1173 202 314 2117 41763 249 12179
1268 182 333 2147 41386 227 10640
1388 195 319 2209 56314 203 10719
1225 185 316 2106 44022 199 9944
1219 185 295 2219 47726 194 11115
1296 223 318 2248 44003 198 10235
1194 205 305 2208 43836 197 10267
1188 184 299 2103 43117 225 9620
1284 187 321 2233 42242 208 9422
1192 192 300 2097 40739 190 9044
1173 190 302 2082 40599 184 8974
1178 183 309 2268 41402 196 9418
1170 182 309 2136 40980 187 9002
1246 305 304 2085 40643 187 8964
1177 200 305 2106 40657 188 8882
1247 180 308 2091 40796 189 8960
1192 183 307 2113 41364 200 9520
1181 306 304 2126 40943 193 8967
1178 182 312 2121 40674 189 8886
1199 182 335 2171 40590 188 8887
1195 188 313 2116 40639 189 8875
1178 188 313 2158 40615 190 8961
1126 315 314 2133 40604 190 8798
1188 182 309 2117 41469 221 9595
1187 187 321 2174 40690 205 8999
1176 188 310 2110 40630 193 8850
1183 186 317 2149 40608 192 8937
1179 191 321 2145 40583 201 9229
1350 195 338 2245 43249 222 9913
1248 198 326 2348 45537 233 10160
1220 203 327 2227 43838 220 10105
1216 200 330 2149 41485 208 9366
1205 181 317 2194 41114 211 9155
1268 192 335 2153 42281 213 9729
1191 191 324 2053 42624 235 11491
1267 197 353 2310 46042 232 10668
1427 186 324 2234 43823 273 9832
1317 199 356 2204 43396 219 10210
1176 184 327 2562 44072 222 10542
1235 309 334 2269 44450 261 10054
1259 186 326 2207 44562 228 9611
1207 181 329 2361 44037 229 10118
1228 191 387 2255 42732 230 9414
1184 185 328 2199 40939 216 9108
1201 185 340 2179 41151 235 9666
1351 200 331 2295 43302 238 9899
1255 193 351 2314 43490 238 9967
1261 195 356 2325 43301 242 9995
1212 184 334 2204 41546 227 9323
1197 308 336 2262 41652 233 9151
1177 183 373 2204 43270 233 10035
1249 202 364 2253 44082 234 11033
1197 184 347 2340 45835 302 16716
1541 211 384 3886 54933 303 10520
1306 238 342 2230 50336 274 11275
1263 190 382 2373 45771 299 10532
1314 207 365 2279 43485 240 9686
1230 181 344 2335 43027 254 9971
1193 193 343 2209 42249 231 9789
1215 197 395 2225 43349 234 10141
1250 199 348 2183 45162 241 10667
1269 202 365 2355 46016 331 12185
1260 190 370 2296 44564 269 10281
1216 192 356 2310 43595 307 12596
1362 199 397 2277 45755 248 10477
1255 194 356 2258 47907 262 10449
1181 184 343 2254 41586 221 9510
1184 185 347 2202 41141 224 9319
1177 183 347 2211 41127 217 9290
1180 185 346 2217 41146 213 9302
1182 184 342 2225 40968 215 9320
1186 182 347 2215 41008 226 9239
1185 198 346 2212 41101 216 9326
1191 185 348 2234 41202 216 9390
1183 320 354 2244 41527 256 9771
1233 188 357 2312 42626 228 9882
1182 204 348 2313 43156 246 11269
1219 195 355 2339 43977 243 10459
1237 190 384 2348 43696 251 10521
1211 188 371 2323 43104 235 10177
1177 186 352 2247 42219 233 9870
1200 187 347 2315 42884 233 10049
1180 183 348 2216 41527 220 9536
1178 200 347 2255 41364 216 9538
1208 187 350 2239 41260 216 9454
1202 187 353 2255 41703 216 9621
1190 192 350 2251 41490 220 9538
1180 195 354 2242 41433 226 9442
1191 306 348 2317 42099 242 10437
1226 187 362 2320 43189 245 10093
1212 192 349 2278 43396 240 10297
1182 207 350 2285 42111 224 9904
1217 193 356 2259 42146 228 9845
1191 196 391 2339 42045 226 9802
1180 185 356 2281 41336 218 9449
1195 187 352 2283 41420 219 9558
1186 192 352 2262 41399 218 9488
1260 186 355 2278 41375 220 9454
1187 182 356 2316 41471 220 9460
1186 184 375 2265 41307 231 9580
1207 182 354 2277 41969 221 9829
1187 183 354 2306 41473 223 9518
1190 185 354 2290 41262 216 9391
1198 180 357 2314 41336 225 10389
1228 184 361 2286 42004 234 9945
1188 185 356 2279 42508 235 9726
1186 310 394 2297 41303 225 9619
1208 195 363 2342 42347 233 9648
1213 186 366 2348 44303 337 11951
1353 207 385 2431 44189 279 11194
1233 228 385 2567 44396 249 10425
1198 305 359 2410 42263 240 9786
1205 185 359 2325 41467 231 9590
1177 186 358 2307 41158 226 9275
1182 188 358 2303 40906 221 9164
1199 185 361 2314 41595 236 9634
1182 233 359 2294 40892 219 9230
1199 188 362 2317 41059 226 11112
1182 188 359 2310 41505 243 9633
1189 184 360 2315 40821 219 9056
1184 182 362 2320 40747 218 9000
1193 187 363 2337 40603 217 8875
1188 185 364 2315 40568 217 8862
1193 190 363 2320 40540 217 8840
1185 187 361 2330 40486 217 8771
1184 182 363 2321 40516 218 8685
1177 181 364 2316 44314 1498 71391
3464 210 2877 10247 198639 788 37107
2061 323 722 4899 75393 293 11226
1404 193 526 7592 70667 316 12457
1335 260 482 2998 147759 317 11875
1399 209 398 2863 62882 301 10269
1256 185 398 2426 42805 277 10289
1273 206 389 2551 44229 246 9800
1239 191 377 2429 43904 243 9574
1185 199 425 2540 42837 250 9119
1235 269 386 2472 43048 262 9546
1265 194 376 2503 41933 256 9124
1250 186 395 2508 44801 279 10772
1309 199 396 2554 48450 251 10270
1193 310 369 2394 41575 249 9080
1222 212 372 2393 40990 222 8724
1195 326 367 2379 41908 260 11229
1261 190 380 2546 44473 252 9717
1149 191 374 2408 41738 227 9089
1195 184 368 2381 41124 230 8863
1189 314 365 2394 40728 227 8783
1191 305 368 2374 40880 218 8648
