RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
1110 205 114 1469 6352 107
954 184 133 1530 10203 121
986 145 115 1643 9451 123
1130 227 136 1509 8615 110
1090 168 156 1782 7928 115
1182 205 140 1511 9597 114
1154 210 110 1744 7718 117
1152 208 116 1884 7592 116
1230 191 114 1714 7643 120
1234 243 182 1608 7228 119
1005 212 120 1744 8371 126
1158 300 120 1773 8804 136
1022 232 117 1708 7615 133
1214 203 120 1663 10663 124
1139 153 210 1721 9350 88
1290 272 226 1906 8543 92
1178 272 124 1985 7787 93
1183 218 123 1698 7950 93
1277 226 126 1797 7493 91
1292 235 130 1951 8295 93
1278 269 195 1993 8228 94
1227 304 128 1836 8056 94
1207 280 132 1736 8174 93
1424 219 162 1779 8278 93
1314 352 133 1733 8192 96
1347 342 131 2095 7774 96
1253 290 134 1823 8615 136
1341 290 136 1877 8172 96
1350 242 139 1939 7893 96
1389 229 177 2118 7724 98
1189 301 177 1810 7566 96
1203 233 150 2078 8019 98
1548 199 180 1792 7911 102
1301 175 140 2058 8397 103
1443 253 197 2015 8173 100
1364 348 145 1912 8024 114
1265 173 150 1982 8079 103
1430 161 197 1987 7987 102
1357 227 146 2248 7686 100
1477 227 207 2156 7860 105
1475 236 155 2391 7829 98
1493 299 193 2206 8091 106
1414 371 156 1958 7810 107
1490 233 156 2159 17980 115
1492 248 283 2136 11636 103
1411 324 293 1923 11642 101
1251 161 151 1994 11637 102
1333 346 309 2423 11860 107
1465 253 162 2341 11788 103
1440 254 206 2072 11768 104
1508 174 160 2024 11926 105
1523 342 208 2268 12237 109
1480 171 212 2163 11923 102
1303 366 156 2197 13693 114
1423 173 160 2434 12372 107
1432 220 172 2288 11892 102
1384 294 161 2364 11742 109
1445 282 270 2276 11965 103
1406 233 172 2406 12356 114
1455 341 159 2405 11960 109
1398 285 162 2484 12083 111
1464 310 167 2389 18684 120
1395 270 170 2158 16808 106
1273 354 165 2438 16440 114
1401 167 164 2035 14948 106
1448 175 166 2356 14622 106
1419 356 166 2112 14346 104
1506 325 162 2397 15379 108
1500 372 160 2378 14406 107
1465 222 166 2506 14425 108
1377 266 172 2122 14614 111
1458 279 178 2528 14729 110
1424 284 171 2348 14571 121
1716 157 386 2281 14364 104
1486 387 164 2419 14579 102
1334 276 174 2276 15752 106
1433 200 288 2331 14628 103
1424 259 167 2310 14437 106
1414 204 170 2302 14637 103
1427 199 165 2497 14557 104
1555 264 171 2340 15836 106
1536 240 173 2424 14939 105
1366 329 173 2473 15358 105
1611 291 170 2352 15835 105
1424 298 167 2293 15320 102
1418 471 210 2312 14791 116
1358 365 172 2300 16636 106
1340 167 174 2307 14504 107
1426 303 174 2554 14788 120
1443 261 177 2401 14969 104
1470 209 382 2508 14163 106
1354 423 176 2137 15173 104
1406 300 164 2439 15545 173
1497 262 174 2544 14411 106
1452 315 169 2231 14963 105
1383 275 178 2363 15055 104
1574 443 181 2404 15261 105
1420 294 172 2450 14232 105
1472 275 180 2573 14616 110
1606 419 179 2202 15091 105
1429 361 171 2547 14371 106
1493 219 182 2450 14388 106
1472 217 186 2600 15494 106
1408 215 182 2305 14332 112
1644 494 187 2490 15506 107
1395 289 173 2479 15229 108
1560 336 183 2499 15152 116
1406 351 184 2492 15220 111
1536 315 185 2434 14478 109
1447 263 187 2578 15573 108
1772 232 185 2549 15330 110
1387 317 185 2552 14948 110
1491 309 300 2657 14604 110
1566 351 183 2583 14742 109
1426 219 185 2335 14574 108
1509 364 202 2354 14570 109
1405 282 186 2416 15294 119
1480 271 185 2522 14587 109
