RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
2487 524 310 4198 42973 167
2328 390 281 3852 42452 169
2552 466 285 3923 42082 171
2696 251 284 4265 42276 170
2312 295 284 4428 42439 170
2384 630 431 3914 42168 174
2362 531 281 4635 42331 174
2460 484 287 3921 42248 170
2654 402 284 4516 43105 170
2465 450 300 3885 44883 185
2399 299 300 4572 43848 171
2393 489 294 3989 43898 181
2624 288 301 4410 44030 176
2534 465 291 4449 42835 183
2395 609 302 4207 42393 172
2453 423 289 4341 42543 178
2728 477 316 4660 43960 174
2618 527 288 4299 42963 174
2539 610 387 4705 43105 177
2396 530 295 4494 42818 182
2513 289 295 4151 43118 189
2514 679 295 4625 42280 183
2481 470 297 4002 42816 178
2398 696 296 4039 42637 175
2571 290 420 4587 42779 177
2548 439 292 4475 42709 186
2398 464 290 4552 43404 184
2633 662 300 4484 43188 177
2487 276 302 4083 42952 180
2484 275 299 4430 42458 197
2418 669 307 4455 42347 180
2482 555 312 4550 42885 175
2528 639 295 4586 42348 179
2432 420 340 4408 41921 178
2403 483 306 4625 43472 178
2457 307 301 4483 43120 178
2572 521 315 4164 43144 186
2604 290 312 4626 43785 200
3083 532 301 4234 43264 180
2456 736 295 4544 43219 196
2418 339 311 4581 45091 183
2823 536 307 4670 43294 187
2459 290 303 4640 43399 235
2967 549 366 4904 43983 195
2767 395 319 4738 44772 218
2686 434 306 4724 43917 197
2703 466 316 4709 44170 194
2772 636 328 4727 46358 198
2613 511 316 4813 44769 212
2793 465 442 4530 43531 196
3022 618 326 4320 43344 189
2658 520 738 4589 42746 188
2525 763 322 4269 42729 203
2591 541 302 4757 42859 186
2527 462 466 4898 43174 189
2541 644 317 4279 43905 187
2859 585 321 4604 43299 188
2575 536 304 4872 44671 191
2444 644 318 4989 43203 187
2516 508 327 4779 42369 187
2715 644 329 4867 43290 190
2698 436 371 4777 42558 194
2949 597 309 4314 45037 191
2671 550 325 4229 43513 187
2754 822 323 4968 43813 196
2619 354 749 4671 42418 198
2527 460 305 4487 42534 189
2808 478 322 4565 42699 199
2605 400 318 4514 42437 194
2634 580 329 4915 42702 195
2798 450 322 4634 43251 194
2631 465 323 4395 42474 193
2504 293 315 4985 43230 191
2810 526 327 4800 44655 190
2637 433 320 4372 42783 195
3120 875 341 4381 43046 195
2574 417 519 4302 43734 195
2722 317 318 4416 42475 198
2665 472 330 4834 42853 210
2746 489 327 4477 42947 200
2645 507 334 4547 42974 207
2707 434 336 4415 42549 195
2601 339 324 4910 45062 198
2616 634 342 4375 44761 196
2567 428 339 5020 43831 196
2672 501 329 4396 42586 200
2549 353 496 4789 42952 208
2519 864 357 4429 42586 195
2515 526 318 4699 42395 199
2628 474 326 4879 43096 202
2735 301 338 4898 42775 204
2703 355 419 5031 42281 206
2689 477 350 4620 42830 206
2948 308 328 4846 42939 207
2820 501 317 4943 43259 199
2804 535 321 4590 44417 198
2634 474 351 4326 43285 207
2798 430 323 4434 43060 197
2509 273 322 4339 42961 198
2580 641 336 4336 43359 208
2516 665 320 4292 42698 208
2672 558 319 4332 43146 208
2939 419 607 4268 42593 201
2625 332 321 4417 44633 212
2875 714 350 5115 43627 213
2850 405 339 4953 45951 222
3055 598 641 4542 43817 208
2586 340 350 4382 42415 203
2650 466 339 4761 42541 208
2742 548 323 4400 42712 201
2700 501 334 4899 42597 200
2821 337 345 4388 42534 210
2650 405 337 4922 43012 214
2579 270 325 4440 42576 207
2793 446 323 4436 43079 203
2678 300 324 4936 43698 203
2677 481 343 5284 42498 206
2837 404 323 5059 44033 211
2643 553 347 5317 43554 209
2604 383 328 4912 43353 220
2860 531 327 4398 42628 202
2845 579 326 4394 43904 207
3089 317 332 5008 43970 206
2675 447 492 4397 43685 212
2870 465 390 5081 43542 205
2798 453 354 5163 43094 217
2640 429 323 4483 42723 209
2976 550 356 4479 42421 220
2702 419 350 5159 42823 209
2571 563 355 4467 42978 337
2617 314 355 5197 43416 212
2557 496 331 4645 43791 209
2618 513 352 4451 43164 217
2806 399 331 5124 42873 208
2850 339 353 5257 43277 209
2690 297 328 4979 43837 218
2843 402 326 4509 43102 216
2563 665 353 4498 43796 211
2531 457 641 4561 43238 210
2856 626 412 4605 42601 209
2580 396 362 4654 44040 217
2722 289 336 4992 46010 216
2774 585 333 4604 42984 210
2616 329 338 5234 44692 314
2926 437 368 5663 43343 230
2803 502 609 4694 43298 215
2517 563 342 4783 42563 218
3003 389 341 4957 44135 218
2727 463 370 4725 43593 218
2643 287 342 5379 42604 222
2690 455 357 5183 43129 218
2930 495 375 5073 42871 221
2516 707 346 4648 43951 220
2512 458 368 4547 43506 216
2546 425 420 4552 43969 216
3038 378 359 4599 42863 216
2616 684 347 4615 42446 230
2987 383 353 5442 43833 243
2788 304 438 5314 44018 292
2625 344 353 5283 43774 242
2822 611 439 4620 43254 226
2959 454 344 4599 43766 226
2684 471 342 5465 43378 219
2813 414 345 5061 43943 222
2631 475 365 4604 43379 219
2713 568 350 5407 43509 245
2657 480 371 5055 43475 231
2827 423 373 5187 42128 223
2715 477 372 4751 42271 216
