RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
3657 430 3964 31197 6 22
2705 375 3536 26135 5 22
3386 399 3541 25599 8 18
4245 377 4418 33706 5 15
3158 400 3905 26638 4 16
3130 388 4089 28847 4 19
3071 395 4330 29358 6 17
2654 395 6878 28164 5 32
2818 365 4051 33126 4 14
2819 424 4182 28969 8 15
3308 395 3347 28142 4 20
2580 385 3724 25788 12 21
2683 379 3459 25102 5 16
2906 391 6770 25101 11 21
2593 365 3462 25035 4 17
2647 376 3437 25170 9 16
2651 372 3463 25033 4 15
2663 362 3547 25291 5 20
3197 476 4273 29280 13 27
3434 415 3500 27197 4 21
2903 353 4005 29668 6 41
3226 404 4411 28447 6 19
2582 542 3506 28685 12 29
2984 447 4169 28602 3 20
2883 401 3734 27010 3 17
3003 374 3613 26490 18 19
3213 446 4234 28188 4 26
2865 482 4207 28294 4 16
3236 444 4226 27281 4 15
3108 683 3873 28968 10 18
3314 394 4267 29453 5 17
3195 368 4111 26908 4 18
2876 360 4136 28115 13 16
2973 455 4301 27670 4 17
3048 377 3923 28385 4 14
3191 456 3428 28851 12 18
3206 401 4296 28439 4 14
3278 460 3623 25952 4 14
2686 437 3522 27864 5 29
3049 430 3966 26275 10 17
2688 370 3540 30159 5 15
2809 447 3339 25536 5 19
3037 407 3995 27672 11 17
2873 424 3287 29330 4 17
2884 355 3858 27268 4 19
2782 351 4211 28396 11 16
3044 461 3975 29317 9 16
2761 423 3407 27405 4 18
3046 423 3930 28452 4 15
2878 362 4065 29734 20 21
2652 378 3457 28258 5 16
3173 408 4619 30730 4 23
2999 460 3780 30352 4 16
2875 350 3990 26921 9 15
2838 368 4392 25996 5 21
3032 432 4207 28955 3 22
2831 383 3979 27020 10 20
2862 391 3682 25982 4 16
3165 477 3946 29273 3 13
2844 450 4120 27988 3 14
2826 341 3770 28762 7 15
2877 352 3394 26406 5 20
2636 487 5052 26867 4 15
3967 524 4257 26433 10 14
3276 442 3370 27477 5 19
3169 435 4027 29321 4 19
2979 382 4092 29521 3 17
2551 354 4240 25732 9 15
2638 346 3644 26174 3 16
3256 410 3808 28071 15 32
2906 588 4203 30013 10 22
2749 373 4228 26647 3 15
3098 365 3313 29101 5 24
3160 421 3695 26787 5 19
2745 411 3269 23408 9 14
2504 345 3287 23956 3 15
2780 339 3304 24958 4 16
2864 365 3353 25706 10 16
2598 376 3475 24840 4 16
2611 378 4508 27071 4 15
2485 368 3646 27170 4 19
3398 454 3600 27176 10 21
2864 376 4129 26972 3 15
3429 448 4191 28925 4 19
3295 466 4190 28507 9 15
3240 450 4138 26614 3 14
3236 467 4104 28613 4 17
3100 383 3689 27699 30 13
3210 357 3447 28054 11 15
3192 392 3618 28374 16 18
3016 390 4160 29421 7 18
2953 464 3436 27622 4 17
3105 376 4099 27056 8 25
3146 843 3987 27868 4 14
