RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic ModifiedIncremental
4983 950 562 5463 401308 32626 49492
4569 762 557 5409 391129 27846 29195
5132 751 555 6384 388922 33026 31356
5296 957 559 6474 1149726 28040 809607
4552 768 558 5618 703549 33172 298774
5248 702 553 6312 745935 28247 330644
5216 760 555 6207 864474 35073 491935
5347 916 578 6294 404729 30355 36057
5487 809 554 6531 417951 35256 41593
5407 871 565 6467 395943 31547 33172
5256 809 563 6330 397689 35346 33559
4583 890 562 6439 392064 32189 30413
5189 939 557 5470 394728 35924 29969
5018 774 564 6311 390630 33853 29883
5337 897 563 6225 390349 39145 28893
5430 779 556 5641 891572 34809 508783
5355 966 565 6447 686498 41655 310148
5200 819 563 6332 664273 34418 292591
5057 777 558 5520 401287 42840 31391
4618 942 560 5642 446209 38899 38844
6262 820 705 8877 484657 42130 48712
5378 770 562 5458 397560 36774 32576
5233 946 564 5755 412609 54998 49714
7816 835 613 5724 488376 37302 37746
5452 856 596 8976 1286933 42229 884048
5344 816 564 6300 710571 36960 339531
5324 810 589 6618 718445 41927 331036
5081 862 564 5851 726248 36567 330491
4603 915 567 5715 407382 41929 30754
4689 872 558 5715 402779 36627 32221
5243 754 565 5808 408410 43090 37383
4502 828 574 6637 410728 39287 34226
4621 940 600 6592 410753 44651 34568
5058 962 569 6701 402764 39846 31735
4618 830 568 6833 401508 44087 31293
5386 774 567 6423 403632 41670 31693
5405 836 579 6141 1331310 46176 941532
5107 794 610 6643 407572 41614 30492
5258 824 568 6452 409476 51796 38298
4701 849 581 6615 416145 38597 33436
5210 1131 588 6734 410451 44165 31238
4450 809 599 5702 2353988 38891 1966591
5550 683 575 6425 835556 45262 412474
4675 863 571 6571 760766 38989 355104
4575 966 583 6920 434866 47046 34480
6006 833 580 7359 466213 39224 50378
5476 1030 603 6496 1142060 48809 675424
5405 888 571 6709 942613 41235 504246
4546 1880 612 12231 443416 47786 35015
5253 1061 603 6825 432994 42024 35864
5401 930 599 6372 437151 50103 39640
4778 907 596 6680 484920 43574 43923
