RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic ModifiedIncremental
5 6 6 5 16 5 8
5 8 6 5 16 5 8
4 15 6 5 16 5 14
5 6 5 5 16 5 8
5 11 5 5 16 5 9
5 13 5 5 16 5 8
5 14 6 5 16 5 8
4 16 6 5 16 5 8
5 8 6 5 16 5 8
4 7 5 4 16 5 8
4 8 5 5 16 5 10
4 6 5 5 16 5 9
4 12 5 5 16 5 14
4 7 5 5 16 5 9
4 17 6 4 16 5 9
5 6 5 5 16 5 9
4 4 5 5 16 5 8
4 16 5 5 16 5 8
4 6 5 5 16 5 8
5 13 5 5 16 5 8
3 8 5 5 16 5 8
5 7 5 5 16 5 8
5 10 6 5 16 5 8
4 16 5 5 16 5 8
4 6 5 5 7 5 8
4 7 5 5 7 5 11
4 7 4 5 7 4 10
5 7 4 5 7 4 9
4 5 5 5 7 5 7
4 4 5 5 7 5 10
4 5 5 5 7 5 8
4 6 5 5 7 5 10
4 7 5 5 7 5 9
5 7 5 5 7 5 8
4 5 5 5 7 5 8
4 7 5 5 7 5 8
5 6 5 5 7 5 9
5 5 5 5 7 5 6
5 6 5 5 7 5 8
4 6 5 5 7 5 9
4 5 5 5 7 5 9
4 5 4 5 7 5 6
4 7 4 5 7 5 7
4 7 4 5 7 5 8
4 6 5 5 7 5 8
4 6 4 5 7 5 8
3 8 5 5 7 5 9
5 7 4 5 7 5 7
4 6 4 5 6 5 7
3 6 5 5 6 5 8
3 5 4 5 6 5 7
4 5 4 5 6 5 6
4 4 4 5 6 5 6
4 6 4 5 6 5 6
4 5 4 5 6 5 6
4 5 4 5 6 5 7
4 6 4 5 6 5 8
4 6 5 5 6 5 7
4 6 4 5 6 4 6
4 6 4 5 6 4 5
4 6 4 5 6 4 8
4 4 5 5 6 4 7
5 6 5 5 6 4 7
4 4 4 5 6 4 6
4 4 5 5 6 4 6
4 6 5 5 6 4 7
4 4 5 5 6 4 7
4 5 4 5 6 4 8
4 4 5 5 6 4 6
4 4 4 5 6 4 5
4 5 4 3 6 4 6
4 5 5 5 6 4 6
4 4 5 5 6 4 6
4 3 4 4 6 4 6
3 5 5 3 6 4 6
4 4 5 3 6 4 6
4 4 5 3 6 4 7
4 4 4 5 6 4 6
4 4 5 5 6 4 6
4 4 5 5 6 4 6
4 6 5 3 6 4 5
4 4 5 5 6 4 7
4 5 4 5 6 4 7
4 5 4 5 6 4 7
4 5 4 5 6 4 6
4 5 5 5 6 4 5
4 5 4 5 6 4 7
4 4 5 5 6 4 7
3 4 4 3 6 4 5
4 4 4 5 6 4 7
3 5 4 5 6 4 7
4 4 4 5 6 4 6
4 5 4 5 5 4 4
3 4 4 3 5 4 5
3 4 4 5 5 4 6
4 4 4 5 5 4 5
4 4 3 5 5 4 5
3 4 4 5 5 4 5
3 4 4 5 5 4 5
4 4 4 5 5 4 5
3 4 4 3 5 4 5
3 4 4 4 5 4 6
4 4 4 3 5 4 5
3 4 4 3 5 4 5
3 4 4 3 5 4 5
3 4 3 5 5 4 5
3 4 4 3 5 4 5
3 4 4 3 5 4 6
3 3 4 3 5 4 5
3 5 4 3 5 4 5
4 4 4 5 5 4 6
4 5 4 5 5 4 6
4 4 3 3 5 4 6
4 4 4 5 5 4 6
3 4 4 3 5 4 5
3 4 3 5 5 4 5
3 4 4 5 5 4 5
3 4 3 5 5 4 5
4 4 4 5 5 4 6
3 3 3 5 5 4 5
4 4 4 5 5 4 5
4 4 4 5 5 4 5
3 4 4 3 5 4 6
4 4 4 3 5 4 5
3 3 3 5 5 4 4
3 4 4 3 5 4 6
4 3 4 3 5 4 5
3 4 4 3 5 4 5
4 3 4 3 5 4 5
3 4 4 3 5 4 5
4 4 4 3 5 4 5
3 4 4 3 5 4 6
