RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic ModifiedIncremental
1225 192 317 2016 29936 41553 10465
1437 191 373 2272 33413 40438 10155
1215 189 322 2023 30858 41243 10104
1234 194 322 2024 30378 41145 10134
1220 194 329 2071 30549 41838 10102
1260 203 317 2025 31180 44093 10631
1234 197 320 2066 31199 41375 10411
1225 194 317 2019 30377 41798 9949
1216 199 317 2030 31196 42046 10359
1220 189 316 2032 30487 42020 9923
1224 187 320 2032 29672 42140 9614
1219 320 315 2031 29706 42718 9649
1250 192 321 2076 33753 42872 10071
1218 210 320 2119 30630 43244 9896
1222 196 317 2038 30410 42933 9914
1222 193 319 2038 29643 43418 9606
1250 191 323 2034 29760 43335 9651
1229 194 320 2046 29602 43941 9555
1217 191 320 2063 29616 43923 9504
1227 194 319 2054 29780 44250 9625
1219 192 320 2077 29842 44310 9717
1215 195 321 2075 29759 44679 9550
1220 188 323 2082 29606 44838 9575
1226 190 322 2101 30266 45084 9895
1229 193 327 2092 29809 44992 9650
1237 193 337 2105 29667 45542 9631
1220 195 320 2093 29756 45330 9571
1221 190 342 2176 29767 45801 9601
1222 322 327 2067 29615 46365 9557
1226 193 328 2262 29708 46816 9629
1247 311 327 2098 30378 46011 10273
1224 191 330 2126 29673 46259 9543
1232 195 326 2112 29666 46348 9552
1222 187 335 2080 29769 46698 9825
1223 189 326 2086 30503 46866 10148
1231 178 328 2091 30263 47076 9963
1229 235 328 2171 29697 46912 9543
1238 192 333 2103 29710 47422 9561
1227 200 327 2100 29706 47307 9609
1227 191 330 2102 29942 47602 9762
1233 192 335 2105 29711 47587 9519
1235 191 329 2305 29605 47874 9526
1229 196 334 2107 29705 47812 9582
1223 312 334 2198 29673 48210 9562
1232 192 333 2149 29962 51035 9791
1268 195 338 2937 32121 48890 10118
1242 194 333 2112 30445 48352 9957
1227 195 332 2114 30123 48737 9697
1281 189 333 2115 29838 48636 9568
1240 192 338 2130 29708 48877 9595
1222 191 333 2080 29744 49117 10159
1249 193 335 2149 30188 49162 9930
1233 192 344 2140 29874 48974 9833
1233 191 332 2148 29668 49527 9551
1229 195 343 2137 29629 49169 9535
1235 315 336 2133 30802 51263 10453
1229 191 337 2147 30321 49359 9948
1240 198 336 2135 29888 49739 9668
1232 191 338 2179 29746 49624 9622
1231 315 346 2153 29919 49894 9714
1233 195 335 2186 29666 49807 9561
1326 189 336 2162 30008 49992 9707
1235 191 337 2205 29663 50459 9600
1246 192 347 2201 30728 50469 9967
1232 191 348 2190 30054 50215 9776
1234 191 339 2218 30305 50550 9907
1234 195 340 2167 30106 50068 9919
