RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic ModifiedIncremental
34 223 41 34 304 41 50
35 149 41 31 304 41 44
32 41 41 34 304 41 63
32 49 41 36 304 41 60
30 116 41 38 304 41 59
34 48 41 33 304 41 59
30 84 41 37 304 41 55
32 88 41 34 304 41 50
32 53 41 39 304 41 63
38 58 41 28 304 41 63
33 48 41 30 304 41 52
28 48 41 38 304 41 60
36 107 41 37 304 41 41
28 78 41 36 304 41 42
31 88 41 35 304 41 58
35 102 41 37 304 41 41
28 88 41 33 304 41 58
36 69 41 29 304 41 46
34 88 41 33 304 41 39
29 68 41 34 304 41 59
32 88 41 30 304 41 48
38 57 41 37 304 41 51
28 96 41 35 304 41 57
31 73 41 33 304 41 61
37 51 41 29 304 41 49
34 51 41 33 304 41 45
31 54 41 28 304 41 61
30 63 41 37 304 41 60
35 121 41 31 304 41 49
35 65 41 29 304 41 47
33 60 41 35 304 41 54
32 67 41 31 304 41 60
31 83 41 35 304 41 54
37 53 41 37 304 41 59
33 190 40 35 299 40 59
31 59 40 34 298 40 60
32 41 40 33 297 40 47
33 101 40 30 296 40 55
31 53 40 31 296 40 58
29 93 40 31 293 40 51
28 77 40 33 293 40 47
33 90 40 31 293 40 57
30 56 37 29 273 37 43
30 63 37 28 273 37 62
32 45 37 31 273 37 56
29 72 37 29 273 37 42
31 84 37 29 269 36 41
31 135 35 31 256 35 38
27 53 31 28 226 31 41
27 44 31 27 226 31 60
24 62 31 26 226 31 61
24 50 31 31 225 31 63
31 223 31 27 225 31 59
27 70 31 24 225 31 58
29 123 31 27 225 31 62
23 44 27 25 186 27 41
27 48 27 26 186 27 57
23 46 27 25 186 27 44
26 123 35 23 186 27 44
23 35 27 27 186 27 54
25 134 32 20 186 27 53
23 60 34 22 185 27 53
21 110 26 24 184 26 50
27 57 35 25 183 26 49
22 70 35 23 183 26 51
23 54 35 27 183 26 49
23 38 35 25 182 26 38
23 31 26 25 182 26 45
22 141 26 21 182 26 42
21 68 35 25 182 26 43
