RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic ModifiedIncremental
31 69 41 33 319 41 59
36 60 41 31 319 41 62
31 40 41 30 319 41 48
27 70 41 34 319 41 56
34 45 41 33 319 41 46
31 85 41 30 319 41 58
33 77 41 34 319 41 60
33 95 41 28 319 41 41
30 89 41 32 319 41 59
31 151 41 31 319 41 56
30 64 41 34 319 41 49
30 84 41 30 319 41 53
32 75 41 32 319 41 44
32 53 41 33 319 41 47
35 169 41 36 319 41 54
35 84 41 32 319 41 61
34 43 41 32 319 41 58
34 90 41 33 319 41 57
30 59 41 34 319 41 53
32 71 41 31 319 41 48
34 115 41 35 319 41 63
33 59 41 34 319 41 43
37 59 41 37 319 41 45
33 71 41 30 319 41 63
30 98 41 37 319 41 53
31 46 41 30 319 41 59
31 63 41 38 319 41 44
33 95 41 35 319 41 45
31 53 41 31 319 41 47
33 51 41 31 319 41 57
28 71 41 38 319 41 49
29 35 41 34 319 41 42
32 55 41 37 319 41 38
33 63 41 33 319 41 51
32 77 40 35 314 40 43
32 87 40 31 313 40 47
34 71 40 32 312 40 62
33 69 40 31 311 40 55
31 49 40 34 311 40 49
31 60 40 28 308 40 53
32 151 40 32 308 40 52
32 76 40 31 308 40 55
27 64 37 30 288 37 58
33 85 37 35 288 37 58
28 83 37 30 288 37 35
27 46 37 31 288 37 40
30 61 37 32 284 36 63
28 55 38 30 271 35 63
25 119 31 25 241 31 57
27 64 31 32 241 31 35
25 44 31 24 241 31 61
26 64 31 27 240 31 46
24 134 31 30 240 31 53
28 48 31 22 240 31 35
25 32 31 27 240 31 63
24 66 27 23 201 27 60
22 133 32 25 201 27 43
26 101 35 23 201 27 50
28 43 27 24 201 27 48
23 72 27 25 201 27 46
24 38 35 22 201 27 48
24 63 31 26 200 27 62
26 28 28 26 199 26 56
27 128 35 22 198 26 43
24 31 30 27 198 26 55
22 39 35 20 198 26 52
23 178 35 21 197 26 43
