k Sparsification RIndependent Gonzalez BaselineGreedy Bottleneck Incremental FullyDynamic
3 1507 1506 344 262 3795 16215 155
6 1541 1534 413 284 3923 55931 226
9 1708 1613 456 307 3980 51961 187
12 1753 1626 465 324 3976 38812 223
15 1718 1718 479 341 4011 38860 243
18 1706 1731 514 360 4053 37928 207
21 1631 1776 523 372 4048 30458 675
24 1574 1806 536 394 4059 29277 412
27 1567 1829 535 390 4215 31404 439
30 1505 1906 559 408 4294 29560 424
