k Sparsification RIndependent Gonzalez BaselineGreedy Bottleneck Incremental FullyDynamic
3 77 58 105 52 47 159 56
6 49 36 82 34 31 150 38
9 45 28 70 27 24 86 28
12 41 24 60 21 20 94 24
15 38 21 53 19 18 63 18
18 35 19 51 17 16 65 15
21 32 17 46 16 15 79 13
24 31 16 43 14 14 42 14
27 29 15 38 13 13 32 15
30 28 14 39 12 12 39 12
