k Sparsification RIndependent Gonzalez BaselineGreedy Bottleneck Incremental FullyDynamic
3 1287 767 242 192 2629 9239 118
6 1269 793 301 208 2709 19418 131
9 1314 794 312 215 2731 15143 158
12 1276 807 320 228 2747 13601 140
15 1219 840 332 239 2792 12870 158
18 1174 856 332 248 2826 13502 171
21 1128 875 338 267 2872 12728 165
24 1069 882 358 269 2876 12222 213
