RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic ModifiedIncremental
32 71 45 31 143 38 59
35 68 41 32 143 38 63
28 55 40 29 143 38 53
28 51 36 29 143 38 53
26 38 41 32 143 38 58
29 55 41 32 143 38 51
27 155 47 32 143 38 55
32 106 45 28 143 38 63
33 73 45 24 143 38 47
32 54 40 30 143 38 51
31 62 47 36 142 39 62
30 73 44 34 142 39 50
28 73 34 32 142 39 61
28 149 47 35 142 39 43
35 76 43 30 138 37 60
28 70 41 30 138 37 55
25 77 43 34 138 37 62
35 43 43 27 135 37 59
28 78 41 27 135 37 56
31 87 39 30 135 37 54
28 67 42 29 135 37 56
25 68 35 30 135 37 60
30 60 42 30 135 37 61
29 41 32 29 135 39 61
25 63 37 27 135 36 34
25 43 37 26 135 36 51
27 67 37 26 135 36 59
28 50 33 25 135 36 42
23 66 34 33 135 36 49
27 62 33 26 135 36 46
26 55 36 28 135 32 59
25 83 37 24 135 32 48
26 60 37 26 135 32 42
29 66 37 22 135 32 39
26 65 37 28 135 32 34
27 44 37 30 135 32 48
27 48 32 29 135 32 35
27 141 32 26 135 32 62
26 58 34 29 135 32 42
28 62 37 26 135 32 44
27 92 37 27 135 32 48
27 107 35 22 135 32 55
28 129 37 26 135 32 49
25 61 33 24 135 32 52
27 49 34 29 135 32 54
29 64 32 27 135 32 59
31 150 37 33 135 32 62
29 73 37 26 135 32 40
28 40 37 25 135 32 46
25 64 37 28 135 32 39
27 53 33 23 135 32 58
28 55 37 28 135 32 40
26 49 36 32 135 32 43
24 43 32 33 135 32 47
28 49 32 24 135 32 61
28 69 37 24 135 32 58
25 51 37 24 135 32 51
28 49 32 27 135 32 61
27 83 34 24 135 32 48
28 50 37 29 135 32 59
25 118 37 27 135 32 45
27 66 37 26 135 32 52
26 45 37 25 135 32 47
22 66 32 25 135 32 45
26 32 33 25 135 32 58
26 74 37 26 135 32 59
26 40 37 23 135 32 63
26 37 37 24 135 32 58
23 84 32 25 135 32 50
27 124 32 29 135 32 44
26 132 32 28 135 32 42
25 63 37 28 135 32 44
26 42 36 29 135 32 40
26 33 37 25 135 32 49
24 74 32 29 135 32 52
26 60 37 23 135 32 56
27 37 37 24 135 32 56
29 70 37 27 135 32 43
28 61 33 25 135 32 54
28 74 37 24 135 32 59
26 106 37 25 135 32 57
22 67 37 24 135 32 38
25 75 37 27 135 32 35
26 64 34 27 135 32 54
30 42 37 29 135 32 41
28 36 37 29 135 32 45
24 107 37 27 135 32 51
24 41 37 25 135 32 50
26 64 37 30 135 32 62
27 60 37 23 135 32 63
28 33 37 27 135 32 58
28 69 32 29 135 32 46
28 32 37 25 135 32 49
23 53 37 29 135 32 58
28 49 37 27 135 32 39
24 43 37 26 135 32 43
25 61 36 27 135 32 59
23 66 32 24 135 32 63
27 67 33 25 135 32 34
26 65 37 28 135 32 44
28 59 35 29 135 32 60
25 94 37 23 135 32 54
26 79 37 25 135 32 42
27 45 37 25 135 32 42
27 38 36 30 135 32 44
25 62 37 25 135 32 57
27 52 35 27 135 32 50
20 86 37 28 135 32 49
25 68 37 27 135 32 44
26 35 32 25 135 32 60
28 48 36 23 135 32 50
27 42 37 26 135 32 47
25 40 37 25 135 32 42
25 61 33 29 135 32 61
26 142 32 28 135 32 40
23 67 37 27 135 32 52
26 51 32 25 135 32 42
24 82 37 26 135 32 47
28 63 37 29 135 32 37
25 52 32 29 135 32 43
29 61 37 28 135 32 47
25 55 37 26 135 32 62
25 72 37 29 135 32 37
26 50 32 29 135 32 44
26 53 37 23 135 32 62
25 62 36 27 133 30 56
23 46 35 24 129 29 63
21 52 35 25 129 29 61
22 44 29 24 129 29 48
25 73 35 27 129 29 43
26 59 32 25 129 29 62
24 28 29 23 129 29 51
28 49 35 25 129 29 59
28 60 31 23 129 29 62
27 59 31 28 129 29 47
27 37 35 25 129 29 49
25 106 33 24 129 29 43
25 38 32 27 129 29 61
26 58 35 22 129 29 59
25 43 35 24 129 29 41
24 65 35 25 129 29 60
25 39 29 26 129 29 62
27 80 29 24 129 29 44
