k Sparsification RIndependent Gonzalez BaselineGreedy Bottleneck Incremental FullyDynamic
3 1486 1205 339 258 3687 69328 149
6 1611 1655 488 287 4024 85575 177
9 1780 1673 460 312 3967 41163 180
12 1732 1746 483 318 3949 34449 203
15 1699 1732 504 338 3945 33958 236
18 1656 1766 530 350 4009 31801 223
21 1598 1847 537 376 4027 32399 253
24 1562 1871 546 378 4140 27168 290
27 1507 1877 555 389 4184 28263 466
30 1448 1864 565 407 4217 25886 322
