k Sparsification RIndependent Gonzalez BaselineGreedy Bottleneck Incremental FullyDynamic
3 85 67 113 60 53 197 64
6 53 37 91 34 31 131 35
9 46 27 75 25 23 101 24
12 41 23 67 21 20 67 22
15 41 21 60 18 18 75 21
18 36 19 56 17 16 68 17
21 35 17 50 15 15 70 16
24 31 15 44 14 14 30 15
27 29 14 41 13 13 29 14
30 28 14 38 12 12 43 11
