k Sparsification RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
3 3623 1060 325 621 7831 5 1586
6 3640 1077 341 644 7782 5 1598
9 3479 1085 362 652 7809 7 1614
12 3061 1085 375 661 7738 4 1628
15 2651 1089 381 675 7760 5 1637
18 2378 1097 392 687 7853 5 1683
21 2077 1095 401 688 7754 4 1655
24 1940 1098 401 700 7801 5 1676
27 1964 1099 412 697 7756 4 1678
30 1971 1112 408 708 7826 3 1699
