k Sparsification RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
3 5829 1658 499 834 13155 5 2081
6 6115 1852 560 855 13577 4 2109
9 5539 1833 578 867 13438 4 2127
12 5287 1842 601 897 13476 4 2152
15 4993 1861 603 921 13689 4 2184
18 4957 1844 602 922 13484 3 2186
21 4608 1867 626 929 13519 3 2242
24 4339 1941 636 963 13883 4 2427
27 4064 1875 648 974 13617 4 2344
30 3875 1913 674 1042 14017 4 2335
