RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
6908 1271 1081 7577 618
5439 1088 698 6776 595
5777 829 889 7554 684
5375 781 698 7276 582
5190 791 812 7027 664
6022 978 803 6560 612
5234 936 893 6556 643
6410 1060 885 7415 606
5376 1244 750 6767 627
6159 1115 813 7732 630
5251 904 953 7848 546
5943 665 844 7647 699
5553 876 719 7532 617
7033 897 889 8010 727
5204 865 794 8274 665
6254 1309 969 7207 638
6283 1104 739 7887 696
6230 1060 1033 7966 691
6304 1092 1003 6183 634
7640 1157 840 8718 604
6944 1094 665 6586 692
5392 993 788 8303 592
6024 860 986 9565 598
5224 1670 838 7054 582
6349 1035 1065 8262 694
6736 902 711 7903 598
6203 902 731 7472 837
6524 1889 1198 9168 579
7146 1308 955 7612 778
5225 1038 977 7488 724
5965 1083 841 7976 806
5909 952 704 7217 605
6297 1066 862 7682 673
5549 790 889 7065 570
5598 790 761 7164 709
5386 1202 901 7781 600
6600 974 932 8634 624
5244 1081 926 7979 710
6755 1291 772 7537 598
5912 1216 722 8518 710
6767 1014 678 6870 663
6295 1098 945 6308 601
5459 1278 963 7496 544
5975 1193 729 7524 611
4961 1032 802 7265 569
5891 829 626 7372 616
7081 936 836 6796 749
6134 1243 861 7031 581
5935 1152 849 7320 712
7308 1105 858 8074 599
6884 1144 831 8506 647
5444 1150 840 7729 599
6704 1127 862 7968 586
6838 879 786 6858 643
5665 935 816 8431 537
6178 1240 929 7521 737
6067 909 778 8846 489
5540 663 700 7312 536
6379 1207 922 6967 570
6055 1080 743 6618 624
6349 792 802 8466 683
5813 1101 819 7503 627
5853 901 855 6838 656
5462 1388 673 6775 649
5905 1113 808 8309 575
7334 1062 938 7241 601
6098 1313 801 7639 520
6342 949 676 7393 563
6047 926 1010 8128 500
5553 612 792 8329 500
5738 929 819 8783 555
6331 1008 825 8569 589
6286 1261 703 8040 584
6117 1347 813 8155 615
6543 764 849 8194 636
6409 943 699 7818 547
6457 729 720 8790 540
6209 777 630 7289 668
5451 1204 769 8997 652
6031 805 905 7374 635
6897 1030 1039 8919 630
6263 999 763 8264 523
5811 1250 822 11245 520
5756 976 942 10154 697
7093 1416 1048 9502 679
5731 918 857 7558 680
5179 1032 748 8287 580
6206 995 770 7473 736
6554 990 815 8845 583
5650 760 1073 9227 564
5742 792 711 8977 566
5907 924 821 8671 563
6188 800 1044 8481 631
6539 1626 761 7929 640
6948 1413 870 9120 633
6470 1007 1091 7932 714
5935 988 795 8416 628
6755 881 886 8040 632
4616 1204 715 7832 542
6122 966 788 7491 661
5230 1019 1084 7809 539
6496 845 683 7278 617
5238 1129 832 7697 591
5879 993 760 8489 550
6291 1190 915 8366 672
6626 1293 945 8242 684
5985 1167 742 8473 658
6297 1019 706 7842 662
6199 833 778 8459 614
6919 851 825 7624 628
5881 1402 853 7959 570
6401 1090 871 7510 680
5577 793 723 8631 546
6226 889 905 7629 666
6724 1141 1079 7551 606
6675 782 746 7899 668
6213 1086 842 8091 661
6255 790 848 8489 633
6885 984 845 9085 703
6075 934 842 8473 627
6707 900 798 8561 718
6413 757 863 7190 661
6966 1086 829 8087 588
6174 825 665 7530 690
4977 1037 726 8650 610
5943 1057 970 8630 547
5857 927 789 7589 704
5138 836 787 8409 601
6562 1201 794 8660 607
7051 1223 828 7918 681
6963 718 830 7890 703
6436 932 876 7805 664
5239 793 673 7842 532
5425 785 885 8155 619
5256 1215 818 8010 554
5934 1147 782 7714 604
5535 1019 717 8282 544
6251 1343 793 9040 645
6023 1090 823 8916 681
6715 1074 805 8272 714
6955 973 892 9150 756
7363 832 753 9171 684
6802 953 826 8858 613
6464 912 802 8667 699
5923 818 775 7240 717
5683 970 925 9119 546
