RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
1317 197 236 1933 13
3217 577 289 2495 28
1844 329 238 1935 14
1380 338 229 1997 14
1285 248 285 2033 14
1370 180 221 1910 13
1203 183 221 1909 13
1168 330 254 1892 12
1266 192 262 1921 12
1284 187 222 1905 12
1224 327 232 1963 12
1210 227 223 1900 12
1200 184 223 1871 12
1311 189 283 1920 12
1222 309 224 1939 12
1215 184 227 1918 12
1205 187 238 1950 12
1280 189 220 1905 12
1263 186 224 1902 12
1265 192 224 1949 12
1295 188 221 1898 12
1203 229 221 1929 12
1209 190 219 2124 12
1309 207 284 2053 17
1378 200 247 1873 13
1204 345 236 1988 12
1283 199 235 2059 13
1284 238 234 2012 12
1277 342 238 2049 12
1292 201 236 2020 12
1379 196 238 2010 13
1317 356 260 2085 12
1425 222 288 2062 12
1335 210 275 2069 13
1492 368 236 2055 13
1375 204 248 2149 14
1332 189 238 2064 13
1330 251 249 2073 14
1373 206 235 2044 13
1288 202 240 2020 13
1376 204 241 2034 13
1363 345 240 2031 13
1383 197 246 2041 13
1289 196 240 2053 13
1380 192 240 2139 13
1317 208 245 2077 13
1302 206 245 2045 14
1274 192 240 2044 14
1384 196 244 2133 14
1319 199 242 2130 14
1293 258 288 2207 13
1281 202 234 2132 14
1242 205 234 1986 13
1236 197 236 2012 12
1303 199 243 2086 13
1281 194 245 2085 13
1296 190 242 2065 13
1291 196 242 2067 13
1290 247 248 2087 13
1287 192 254 2058 13
1285 193 247 2067 13
1297 192 243 2119 13
1280 211 247 2081 12
1277 196 247 2072 13
1299 194 247 2083 13
1296 314 250 2110 13
1352 201 249 2116 13
1358 196 252 2098 19
1335 195 236 2107 13
1287 196 246 2088 14
1303 317 258 2097 13
1345 208 246 2157 13
1383 209 250 2125 13
1304 197 248 2195 13
1334 216 266 2533 13
1560 184 248 2108 12
1277 227 255 2108 13
1246 213 241 2084 13
1314 228 250 2097 13
1397 209 412 2550 13
1383 208 248 2100 14
1282 194 252 2174 13
1266 191 256 2129 15
1372 209 250 2125 12
1258 183 235 2070 12
1259 232 232 2044 12
1243 183 246 2062 12
1260 182 241 2007 12
1252 179 235 2065 13
1305 216 246 2061 13
1310 198 267 2138 14
1309 221 385 2333 13
1415 320 286 2222 14
1383 195 251 2166 13
1382 213 263 2317 14
1275 192 262 2199 14
1327 224 255 2137 13
1552 205 286 2270 14
1290 194 311 2206 14
1295 195 253 2423 14
1525 243 267 2245 15
1468 248 304 2483 13
1341 196 270 2198 13
1327 218 276 2312 14
1247 200 245 2154 13
1385 199 256 2242 13
1411 200 277 2523 14
1426 197 287 3844 14
2033 220 305 2250 14
1214 192 270 2213 13
1303 195 273 2230 14
1308 314 266 2163 15
1390 208 263 2198 14
1403 209 315 2379 15
1319 203 368 2315 13
1402 201 257 2791 15
1393 196 259 2354 13
1632 200 260 2663 14
2261 211 267 3317 15
3280 268 923 2473 14
1273 214 258 2170 14
1283 195 257 2158 14
1285 198 258 2151 14
1392 303 359 2558 14
1512 216 261 3041 14
1435 338 312 4972 14
1597 210 258 7833 14
2199 340 284 2529 15
1683 257 269 2615 14
1396 198 260 2211 15
1229 199 260 2215 14
1302 197 260 3166 14
1285 283 256 2385 14
1295 350 266 2229 86
1286 239 258 2354 14
1434 329 283 2510 15
1334 317 301 2421 15
1652 214 264 2432 14
