RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
1268 299 407 2719 223
1270 323 299 2797 234
1370 265 339 2728 275
1264 309 331 2505 281
1338 291 356 2681 263
1246 353 394 2433 227
1310 353 354 2487 290
1375 408 335 2657 297
1341 352 336 2859 265
1307 250 305 2407 262
1046 301 263 2236 225
1178 275 284 2768 235
1229 282 376 2444 287
1187 345 325 2530 255
1329 296 347 2473 311
1181 369 288 2196 229
1053 269 308 2405 226
1215 337 356 2752 311
1386 331 366 2440 298
1306 373 324 2571 247
1154 226 275 2391 226
1076 249 309 2517 234
1278 431 398 2759 250
1302 281 420 2466 288
1168 352 365 2759 228
1448 364 439 2807 261
1283 356 359 2675 254
1214 275 326 2546 250
1211 297 340 2668 279
1314 404 352 2908 304
1356 310 352 2711 325
1234 302 334 2734 285
1199 290 409 2837 351
1185 332 398 2880 282
1369 333 342 2956 320
1182 287 366 2461 270
1245 319 362 2949 272
1195 243 409 2857 257
1319 350 340 2850 279
1225 289 340 2515 255
1217 301 339 2579 269
1358 323 364 2840 273
1374 311 385 2700 279
1242 355 343 2652 270
1337 346 350 2385 327
1276 275 285 2657 226
1193 405 463 2427 226
1286 328 420 2919 269
1270 362 392 2692 318
1444 344 342 2898 264
