RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
823 208 135 2076 294
1612 201 144 2426 143
1504 221 143 2415 142
1546 193 147 2480 140
1353 207 143 2150 137
1564 273 148 2416 152
1574 229 147 2173 152
1585 208 150 2445 165
1582 187 150 2215 158
1468 235 157 2623 166
1728 233 158 2348 169
1491 217 162 2599 173
1733 269 157 2379 181
1759 226 156 2586 175
1780 241 158 2370 172
1729 229 219 2675 172
1613 268 158 2407 178
1720 196 200 2684 176
1771 249 165 2637 175
1481 196 162 2368 179
1814 265 162 2661 188
1814 243 164 2695 197
1798 198 170 2468 206
1709 308 167 2649 181
1706 298 214 2483 212
1543 338 175 2410 201
1720 204 174 2567 168
1596 187 233 2537 167
1752 216 177 2440 169
1892 233 179 2806 172
1863 182 232 2798 169
1753 189 176 2848 172
1598 339 179 2731 201
1864 214 174 2751 183
1626 302 184 2610 139
1801 353 181 2607 185
1699 198 180 2605 183
1628 215 185 2825 140
1603 325 185 2723 141
1809 218 186 2615 140
1594 261 183 2833 140
1769 287 183 2670 141
1825 332 192 2827 142
1623 272 185 2669 142
1827 307 190 2711 141
1892 311 193 2728 143
1969 189 190 2684 145
1821 219 195 2883 145
1786 303 193 2669 141
1855 255 190 2783 142
1862 212 195 2663 144
1863 348 195 2908 144
1826 276 192 2787 143
1827 392 192 2731 145
1895 283 196 2704 145
1893 217 196 3019 145
1792 202 202 3048 145
1830 263 193 3042 143
1671 314 238 2711 146
1951 360 197 3014 140
1850 410 195 2835 145
2047 302 209 2934 146
2306 335 205 2917 312
2094 427 205 3321 143
2301 350 407 3082 136
2282 342 206 3303 144
1947 371 207 3169 290
2058 466 210 2911 156
2144 365 211 2959 157
1834 619 208 3268 290
2003 336 204 3028 141
2075 228 210 3084 144
2114 355 402 2918 131
2134 331 209 3062 146
1916 342 224 3015 147
2351 227 422 2867 146
2088 296 207 3124 148
2356 521 211 3142 153
2160 222 397 2977 152
2020 500 214 3153 125
2355 378 494 3316 142
1997 367 229 3490 155
2339 341 232 3867 139
2088 494 234 3340 167
2466 712 225 3648 139
2324 410 228 3734 141
2148 230 244 3720 140
2357 535 244 3653 143
2789 392 244 3603 144
2214 384 242 3819 148
2504 544 244 3872 148
2499 513 230 3558 140
2195 398 251 3869 141
2027 362 234 3333 137
2390 545 259 3390 147
2161 407 227 3601 139
2271 411 251 3187 130
2189 477 229 3245 136
2131 600 229 3224 134
2282 387 247 3402 141
2481 371 230 3536 132
1923 371 235 3271 145
1944 281 230 3673 134
2173 266 256 3369 159
2501 525 254 3612 141
2371 415 253 3388 297
2366 407 262 4137 132
2512 748 261 3484 132
2401 407 256 3527 150
2414 598 356 3478 140
2549 277 248 3545 138
2328 568 463 4166 150
2728 495 257 3513 138
2435 394 266 3953 135
2348 437 259 3541 139
2578 252 275 3427 288
2639 427 266 3583 131
2069 440 255 3490 131
