RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
887 218 149 2212 323
1751 224 157 2353 162
1715 205 159 2442 160
1714 216 151 2212 153
1744 221 172 2215 158
1748 210 171 2334 187
1823 187 181 2378 161
1529 239 153 2608 173
1641 207 161 2340 175
1740 226 159 2364 165
1678 201 164 2429 175
1774 229 192 2407 176
1600 247 158 2357 192
1645 206 164 2435 172
1577 245 165 2482 188
1786 247 163 2717 164
1796 243 167 2420 181
1612 280 164 2660 180
1594 299 165 2734 158
1789 274 166 2728 156
1900 248 200 2694 160
1819 316 170 2405 157
1617 211 173 2536 160
1839 302 169 2756 159
1644 265 164 2541 169
1910 146 200 2707 172
1573 204 173 2437 141
1782 308 170 2658 173
1853 189 177 2533 174
1786 322 177 2594 139
1801 323 177 2804 143
1857 355 178 2524 145
1972 197 177 2585 144
1670 194 233 2661 146
1714 220 185 2659 144
1931 279 184 2944 144
1731 198 183 2784 142
1984 329 182 2720 145
1890 326 185 3013 145
1904 386 194 2753 153
1832 225 183 2884 143
1848 253 184 2631 143
1821 315 182 2881 142
1804 321 183 2746 140
1765 234 232 2591 140
1594 250 183 2569 151
1741 346 231 2993 150
1795 225 194 2596 179
1861 325 185 2979 142
1830 301 190 2859 155
1844 304 184 2629 146
1867 288 186 2874 142
1983 205 187 2663 146
2213 252 250 2943 175
1906 378 187 2780 303
1887 305 189 3242 134
2116 380 194 2673 127
2017 311 243 3137 136
2077 207 193 2828 147
1852 320 309 3116 145
2033 272 195 2906 140
1826 325 199 2978 155
1868 285 198 3189 154
1705 393 199 2846 158
1953 308 198 2952 158
1958 292 205 3089 162
1965 222 196 3008 162
2025 312 199 2900 167
2116 297 265 2941 167
1871 212 204 2847 165
2034 405 202 3120 192
2032 216 274 3276 178
2109 324 351 3273 175
1959 436 210 2849 177
2028 566 204 2954 178
2175 589 206 2947 181
2074 408 212 3028 181
2205 413 205 3262 158
2125 340 211 3185 159
2315 348 216 3432 167
2210 356 299 3741 230
2183 479 222 3174 239
2127 215 220 3176 224
2117 368 223 3456 287
2144 462 220 3374 139
2467 377 222 3505 135
2133 466 222 3178 283
2048 375 220 3388 133
2219 351 448 3113 276
1967 360 222 3495 127
2276 378 220 3584 127
2381 461 223 3482 131
2258 353 220 3031 125
2231 343 224 3586 125
2200 487 228 3252 127
2331 346 224 3163 126
2171 347 228 3248 128
2864 518 467 3193 130
2189 370 225 3698 280
2099 231 528 3197 125
2172 499 227 3828 125
2261 225 229 3575 129
2220 620 232 3222 128
2204 389 228 3295 127
2189 367 534 3101 283
2365 489 231 3115 130
2372 354 358 3303 107
2450 484 232 3951 273
2251 380 539 3965 126
2372 444 228 3414 100
2538 457 230 3422 100
2362 664 348 3120 135
2294 393 232 3222 102
2098 397 237 3693 103
2172 482 234 3660 112
2167 615 234 3771 104
2276 490 234 3269 113
2179 535 232 3348 267
2309 352 233 3138 109
2264 511 234 3433 102
2406 228 236 3718 110
2101 246 385 3539 112
2201 229 442 3985 104
2237 762 237 3942 103
2206 638 234 3525 268
2321 385 245 3359 267
2109 359 235 3900 288
2173 395 236 3712 108
2559 345 249 3176 263
2071 354 233 3249 262
2170 384 241 3875 129
2461 382 234 4064 106
2341 368 295 3258 105
2205 367 236 3452 102
2187 385 236 3759 101
2276 502 236 3453 103
2184 574 236 3483 99
2155 331 239 3673 107
2408 280 560 3776 107
2190 466 525 3613 260
2111 340 239 3570 126
2191 530 240 3680 98
2170 513 238 3586 104
2198 237 300 3473 264
2098 635 538 3664 262
2257 612 238 3268 254
2159 501 238 3669 129
2563 372 239 3206 262
2146 516 593 3561 124
2090 529 238 3574 103
2111 467 231 3306 103
2250 370 592 3629 97
2216 689 238 3314 250
2242 631 237 3481 252
2462 228 240 3421 107
2110 575 239 3841 101
2260 559 239 3356 259
2675 374 234 3324 246
2365 500 240 3869 109
2183 229 237 4037 108
2255 227 241 3360 244
