RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
4 2147483647 5 5 4
4 2147483647 5 5 4
4 2147483647 5 5 4
4 2147483647 4 5 4
5 2147483647 5 5 4
5 2147483647 4 5 4
4 2147483647 5 5 4
4 2147483647 5 5 4
4 2147483647 5 5 4
5 2147483647 4 5 4
5 2147483647 5 5 4
5 2147483647 4 5 4
5 2147483647 4 5 4
4 2147483647 4 5 4
4 2147483647 4 5 4
4 2147483647 5 5 4
4 2147483647 5 5 4
4 2147483647 5 5 4
5 2147483647 4 5 4
4 2147483647 4 5 5
4 2147483647 5 5 5
5 2147483647 5 5 5
4 2147483647 4 4 5
4 2147483647 4 5 4
4 2147483647 4 5 4
4 2147483647 4 5 4
4 2147483647 4 5 4
4 2147483647 4 5 4
4 2147483647 4 5 4
4 2147483647 4 5 4
4 2147483647 4 4 4
4 2147483647 4 5 4
4 2147483647 4 5 4
4 2147483647 4 5 4
4 2147483647 4 5 4
4 2147483647 4 5 4
4 2147483647 4 5 4
4 2147483647 4 5 4
4 2147483647 4 5 4
4 2147483647 5 5 4
4 2147483647 4 5 4
4 2147483647 5 4 4
4 2147483647 4 5 4
4 2147483647 4 5 4
4 2147483647 4 5 4
4 2147483647 4 5 4
4 2147483647 4 5 4
4 2147483647 4 5 4
5 2147483647 4 5 4
4 2147483647 4 5 4
4 2147483647 4 5 4
5 4 5 5 4
4 2147483647 4 5 4
4 5 4 3 4
4 5 4 5 4
4 6 4 5 4
4 5 4 5 4
4 6 4 5 4
4 6 4 5 4
4 5 4 5 4
4 6 4 5 4
4 6 4 5 4
3 2147483647 4 5 4
4 2147483647 4 3 4
4 2147483647 4 4 4
4 2147483647 4 5 4
4 2147483647 4 5 4
