RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
26 2147483647 28 29 33
26 51 29 24 33
28 2147483647 29 23 33
23 35 31 28 33
27 109 35 28 33
28 2147483647 32 32 33
29 2147483647 31 28 33
28 2147483647 34 31 33
29 35 31 30 32
29 67 31 29 32
27 2147483647 31 27 32
27 2147483647 33 33 32
29 2147483647 36 24 32
27 2147483647 28 31 32
23 2147483647 33 32 32
26 2147483647 33 26 32
27 2147483647 26 33 26
27 2147483647 33 28 26
28 101 26 28 26
27 2147483647 28 24 26
23 2147483647 29 24 36
24 42 29 25 36
20 2147483647 29 33 36
29 48 27 28 36
25 2147483647 32 31 36
25 64 37 27 36
32 2147483647 36 22 36
27 2147483647 34 33 36
30 2147483647 27 24 36
27 2147483647 30 27 36
30 2147483647 36 26 36
27 2147483647 33 27 36
27 2147483647 25 28 36
23 2147483647 36 24 36
26 46 26 29 36
25 2147483647 32 26 36
27 2147483647 26 27 36
22 2147483647 30 25 36
30 2147483647 24 27 36
30 2147483647 30 29 36
22 2147483647 24 25 36
25 2147483647 32 23 36
30 2147483647 32 33 36
25 2147483647 33 30 36
25 53 25 23 36
22 2147483647 36 25 36
29 2147483647 25 28 36
23 42 36 25 36
28 2147483647 30 23 36
29 2147483647 32 23 36
23 2147483647 28 25 36
24 2147483647 29 24 36
19 65 23 20 25
23 2147483647 31 25 26
29 2147483647 33 25 26
26 57 29 21 26
22 2147483647 29 22 26
21 68 27 23 26
20 2147483647 27 27 26
20 65 28 27 26
25 2147483647 31 26 26
26 2147483647 26 23 26
25 2147483647 29 22 26
25 34 27 23 26
25 47 26 22 26
19 2147483647 26 22 26
21 43 28 21 26
21 2147483647 28 21 26
24 60 26 22 26
17 2147483647 26 23 26
19 2147483647 26 18 26
20 71 26 21 26
21 2147483647 26 18 26
19 2147483647 23 20 26
21 68 23 20 26
20 72 26 21 26
21 42 26 19 26
19 86 26 17 26
18 83 26 20 26
20 53 26 19 26
20 2147483647 26 21 26
21 2147483647 26 20 26
17 2147483647 26 21 26
19 66 24 20 26
21 46 23 21 24
20 2147483647 23 21 24
18 2147483647 25 18 24
17 68 24 18 24
19 2147483647 23 21 24
17 2147483647 24 20 24
17 2147483647 23 19 24
18 41 24 19 24
20 2147483647 24 20 24
20 2147483647 23 23 24
19 23 24 18 24
19 2147483647 23 19 24
20 87 23 19 24
19 71 24 21 24
18 2147483647 23 18 24
20 2147483647 23 17 24
21 2147483647 23 20 24
21 29 23 22 24
18 56 24 19 24
20 58 23 19 24
19 2147483647 23 20 24
18 61 24 21 24
24 2147483647 23 24 24
20 2147483647 23 20 24
20 42 23 20 24
18 74 23 20 24
24 80 23 21 24
20 66 24 18 24
20 40 23 19 24
22 2147483647 24 19 24
20 86 24 17 24
20 2147483647 23 22 24
19 45 23 21 24
20 74 23 21 24
19 2147483647 24 16 24
20 33 23 18 24
18 86 23 21 24
20 29 24 17 24
20 67 23 22 24
17 2147483647 25 18 24
18 67 23 19 24
20 69 23 21 24
17 2147483647 23 18 24
19 42 23 22 24
18 45 24 21 24
18 2147483647 24 19 24
21 41 23 21 24
18 2147483647 24 23 24
21 2147483647 23 19 24
17 67 24 19 24
19 74 23 19 24
22 2147483647 23 18 24
18 71 21 22 24
20 40 23 20 24
18 2147483647 23 18 24
22 2147483647 23 18 24
19 2147483647 23 19 24
20 2147483647 23 18 24
23 53 24 20 24
