RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
10 13 11 11 14
11 14 10 11 14
11 14 11 11 14
11 13 12 11 14
12 13 11 11 14
10 14 11 11 14
11 13 12 9 14
11 13 11 11 14
13 14 14 11 14
11 13 10 13 14
10 12 11 11 14
13 14 10 11 14
10 13 10 13 14
11 13 11 13 14
12 14 11 11 14
11 12 9 13 14
13 14 14 13 14
10 13 12 13 14
11 15 10 13 14
12 15 12 11 14
11 14 13 9 14
11 15 11 11 14
10 12 14 9 14
11 12 9 11 14
8 12 12 11 14
15 12 11 13 14
11 15 12 11 14
11 15 13 11 14
11 12 14 11 14
11 15 13 9 14
10 12 9 12 14
10 11 11 11 14
9 12 12 11 14
13 13 13 11 14
11 14 14 13 14
10 13 9 11 14
9 13 10 11 14
9 10 10 11 14
10 11 11 12 14
9 15 13 9 14
12 11 14 11 14
16 12 10 11 14
9 14 10 11 14
10 12 10 11 14
11 12 9 11 14
13 13 9 11 14
10 12 11 11 14
12 15 12 11 14
9 11 14 9 14
12 12 12 11 14
9 13 14 11 14
10 15 13 11 14
11 14 14 11 14
9 13 11 11 14
11 12 11 11 14
13 12 14 13 14
10 13 10 11 14
11 12 11 15 14
13 12 11 11 14
11 13 10 9 14
9 12 11 16 14
11 11 14 11 14
10 15 11 12 14
10 12 9 9 14
10 12 13 11 14
10 13 9 13 14
10 12 12 11 14
11 12 12 11 14
12 13 12 11 14
13 12 9 10 14
10 11 11 11 14
13 13 11 11 14
9 10 13 11 14
12 10 10 11 14
9 11 11 11 14
11 14 10 12 14
9 12 11 13 14
12 11 14 11 14
10 11 9 13 14
13 11 13 11 14
10 11 10 11 14
12 12 10 11 14
10 12 11 11 14
10 12 10 11 14
11 12 9 11 14
